epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,360.927,7.10205,1238.04,4.18773,0,0,0,0,11.8967,806.111,8.44587,0.0674125,0.000329167,0.000329167
2,684.202,3.68782,493.445,2.37505,8e-05,0.00847,4e-05,1e-05,7.39319,542.619,5.30868,0.0344116,0.000661563,0.000661563
3,1000.85,3.23808,445.159,2.19447,0.00019,0.02761,0.0001,2e-05,8.32603,578.966,6.74017,0.00140968,0.000993017,0.000993017
4,1323.66,3.04886,431.892,2.10369,0.00122,0.04664,0.00066,0.0002,7.52586,562.426,5.36324,0.000995757,0.000995757,0.000995757
5,1640.97,2.93649,423.508,2.04794,0.00104,0.09165,0.00093,0.00027,7.2189,529.526,5.47724,0.000994343,0.000994343,0.000994343
6,1959.94,2.86656,418.211,2.00648,0.00228,0.10696,0.00176,0.00048,6.72123,494.909,4.78368,0.000992929,0.000992929,0.000992929
7,2277.36,2.81875,410.324,1.97979,0.00126,0.1084,0.00114,0.00036,7.45939,558.836,5.30096,0.000991514,0.000991514,0.000991514
8,2612.98,2.77363,406.111,1.95675,0.00109,0.05805,0.00151,0.0006,6.99783,521.148,5.04362,0.0009901,0.0009901,0.0009901
9,2926.8,2.76465,410.289,1.94875,0.00038,0.0333,0.00091,0.00023,7.04137,542.623,5.15198,0.000988686,0.000988686,0.000988686
10,3260.5,2.73576,405.869,1.94239,0.00085,0.07865,0.0015,0.00047,8.32608,622.386,5.92356,0.000987271,0.000987271,0.000987271
11,3594.99,2.70666,400.312,1.92713,0.00082,0.07571,0.00097,0.0003,7.9476,613.411,5.50506,0.000985857,0.000985857,0.000985857
12,3923.52,2.72065,405.134,1.929,0.00135,0.10613,0.00277,0.00078,7.02371,540.637,5.12154,0.000984443,0.000984443,0.000984443
13,4245.58,2.66309,400.688,1.90553,0.00137,0.12634,0.00301,0.00088,7.20711,529.97,5.17573,0.000983029,0.000983029,0.000983029
14,4572.94,2.69285,398.996,1.90554,0.00143,0.13198,0.00197,0.00061,7.56075,568.05,5.40809,0.000981614,0.000981614,0.000981614
15,4892.71,2.66717,399.525,1.90862,0.00122,0.1129,0.00152,0.00045,6.91212,511.778,4.97528,0.0009802,0.0009802,0.0009802
16,5210.64,2.65275,397.584,1.89567,0.00101,0.09324,0.00199,0.00065,7.41036,581.711,5.78605,0.000978786,0.000978786,0.000978786
17,5535.46,2.66564,399.26,1.90588,0.00104,0.09591,0.00127,0.00051,7.13111,585.199,5.33538,0.000977371,0.000977371,0.000977371
18,5862.52,2.63503,401.268,1.88532,0.00142,0.13165,0.00365,0.00167,7.68897,591.731,5.48996,0.000975957,0.000975957,0.000975957
19,6199.79,2.61565,395.819,1.88502,0.00101,0.08786,0.00072,0.00022,8.63316,644.791,6.10728,0.000974543,0.000974543,0.000974543
20,6523.59,2.6476,399.15,1.8877,0.00126,0.11713,0.00179,0.00054,7.80681,584.444,5.58728,0.000973129,0.000973129,0.000973129
21,6852.8,2.63109,396.124,1.89088,0.00112,0.10324,0.00157,0.00064,8.06564,607.233,5.72071,0.000971714,0.000971714,0.000971714
22,7176.49,2.63638,400.144,1.88578,0.00258,0.10073,0.00171,0.00065,7.37669,561.005,5.49512,0.0009703,0.0009703,0.0009703
23,7493.31,2.59619,390.991,1.86603,0.00131,0.10951,0.00115,0.00035,7.47652,572.315,5.52245,0.000968886,0.000968886,0.000968886
24,7824.34,2.62761,398.69,1.87989,0.00138,0.12589,0.00148,0.00045,8.19461,612.997,6.19696,0.000967471,0.000967471,0.000967471
25,8146.87,2.60093,394.647,1.87452,0.00164,0.15194,0.00146,0.00047,7.88639,624.586,6.01052,0.000966057,0.000966057,0.000966057
26,8478.05,2.60549,395.325,1.87339,0.00285,0.1345,0.0024,0.00069,9.13388,663.479,6.54062,0.000964643,0.000964643,0.000964643
27,8792.67,2.60236,391.739,1.87058,0.00137,0.12709,0.00266,0.001,7.56831,597.352,5.52472,0.000963229,0.000963229,0.000963229
28,9113.77,2.61933,401.825,1.87942,0.00136,0.12572,0.00231,0.00077,7.34571,561.481,5.55923,0.000961814,0.000961814,0.000961814
29,9438.3,2.58739,396.319,1.87305,0.00149,0.13621,0.00277,0.00073,7.71156,595.606,5.7322,0.0009604,0.0009604,0.0009604
30,9756.4,2.57315,395.343,1.86809,0.00147,0.1078,0.00138,0.00054,6.81664,540.289,5.02442,0.000958986,0.000958986,0.000958986
31,10082.6,2.55733,390.89,1.85206,0.00188,0.16212,0.01574,0.00411,7.30897,581.469,5.34586,0.000957571,0.000957571,0.000957571
32,10404.1,2.57728,393.323,1.86781,0.01042,0.05282,0.00661,0.00212,7.6931,597.808,5.45698,0.000956157,0.000956157,0.000956157
33,10720.8,2.55766,394.879,1.85583,0.00136,0.12634,0.00153,0.00055,7.43044,560.525,5.4382,0.000954743,0.000954743,0.000954743
34,11021.6,2.57858,391.599,1.86011,0.00152,0.14102,0.00136,0.00047,7.75975,581.626,5.71954,0.000953329,0.000953329,0.000953329
