epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,434.047,7.10244,1238.22,4.20393,0,0,0,0,11.4368,784.883,8.31143,0.0674125,0.000329167,0.000329167
2,849.205,3.68822,494.392,2.36748,0.00016,0.03811,0.0001,3e-05,8.90104,639.959,6.71968,0.0344092,0.000659221,0.000659221
3,1216.46,3.2403,445.477,2.18802,0.00037,0.0243,0.00019,8e-05,8.28765,622.143,6.82642,0.00140264,0.000985975,0.000985975
4,1594.5,3.03784,430.774,2.08697,0.00186,0.09618,0.00235,0.00069,8.73116,629.968,6.26204,0.00098515,0.00098515,0.00098515
5,1976.21,2.93073,423.214,2.03643,0.00126,0.11466,0.0034,0.00121,8.48661,630.519,6.08992,0.0009802,0.0009802,0.0009802
6,2342.45,2.85205,416.853,1.99679,0.00163,0.12205,0.00317,0.00116,7.38809,497.967,5.63803,0.00097525,0.00097525,0.00097525
7,2712.29,2.8179,410.225,1.9772,0.00139,0.12845,0.0025,0.00079,7.14551,544.16,5.26772,0.0009703,0.0009703,0.0009703
8,3169.6,2.76415,405.669,1.9471,0.00116,0.0912,0.00333,0.00121,7.33141,577.972,5.11604,0.00096535,0.00096535,0.00096535
9,3643.4,2.76134,410.28,1.94394,0.00119,0.10419,0.0018,0.00057,7.04974,556.363,4.93887,0.0009604,0.0009604,0.0009604
10,4099.05,2.73474,405.816,1.93696,0.00117,0.10549,0.00148,0.00048,8.07213,614.062,5.55257,0.00095545,0.00095545,0.00095545
11,4573.8,2.69946,399.633,1.91787,0.00133,0.12153,0.00726,0.00262,7.20836,565.796,5.14336,0.0009505,0.0009505,0.0009505
12,5026.8,2.70703,403.748,1.92186,0.00134,0.12382,0.00509,0.00184,7.53123,584.71,5.34042,0.00094555,0.00094555,0.00094555
13,5502.24,2.66582,401.124,1.90293,0.00132,0.10555,0.00176,0.00071,8.23935,590.52,5.89862,0.0009406,0.0009406,0.0009406
14,5985.32,2.69157,398.904,1.90548,0.00134,0.12242,0.0058,0.00191,7.16942,569.089,5.02184,0.00093565,0.00093565,0.00093565
15,6460.81,2.65837,398.375,1.89669,0.00119,0.10262,0.005,0.00172,8.18177,587.318,5.95171,0.0009307,0.0009307,0.0009307
16,6919.6,2.64792,396.423,1.88619,0.00147,0.12587,0.01655,0.00393,6.94558,518.265,5.07876,0.00092575,0.00092575,0.00092575
17,7380.68,2.6627,399.092,1.89195,0.00162,0.12242,0.00941,0.00321,7.59813,601.372,5.51577,0.0009208,0.0009208,0.0009208
18,7853.36,2.64985,402.889,1.87197,0.00139,0.0995,0.0069,0.00196,7.66065,595.186,5.34108,0.00091585,0.00091585,0.00091585
19,8327.64,2.68428,404.052,1.86317,0.03335,0.03545,0.01364,0.00373,7.21066,549.624,4.991,0.0009109,0.0009109,0.0009109
20,8784.22,2.79697,417.619,1.88108,0.02434,0.04155,0.00994,0.00342,7.08084,554.688,5.05665,0.00090595,0.00090595,0.00090595
21,9232.73,2.84266,422.322,1.89234,0.03294,0.02259,0.01114,0.00344,7.17485,587.592,5.16914,0.000901,0.000901,0.000901
22,9739.08,2.8808,432.938,1.90348,0.01209,0.02624,0.00546,0.00204,7.80795,604.283,5.69154,0.00089605,0.00089605,0.00089605
23,10186.4,2.87601,427.285,1.8964,0.02684,0.01503,0.00605,0.00189,8.21096,602.571,5.77352,0.0008911,0.0008911,0.0008911
24,10683.2,2.9155,436.282,1.91434,0.0251,0.0306,0.00779,0.00234,7.49593,598.81,5.437,0.00088615,0.00088615,0.00088615
25,11193.9,2.90562,433.421,1.91389,0.04776,0.04646,0.02056,0.00621,6.91823,556.007,4.68366,0.0008812,0.0008812,0.0008812
26,11735.7,2.91329,434.291,1.91484,0.03217,0.0224,0.01258,0.00403,7.55799,574.817,5.31809,0.00087625,0.00087625,0.00087625
27,12261,2.90214,429.523,1.90758,0.10855,0.01425,0.01509,0.00481,7.07443,539.207,5.16997,0.0008713,0.0008713,0.0008713
28,12744.2,2.91118,437.231,1.91076,0.03819,0.02887,0.01359,0.00398,7.36286,582.851,5.08612,0.00086635,0.00086635,0.00086635
29,13255.4,2.86428,431.688,1.90336,0.05091,0.03281,0.018,0.00535,7.92761,606.51,5.4558,0.0008614,0.0008614,0.0008614
30,13788.9,2.86561,431.395,1.90172,0.05995,0.02644,0.01507,0.0043,6.90405,541.993,4.89786,0.00085645,0.00085645,0.00085645
31,14308.5,2.83306,422.096,1.88284,0.02577,0.0167,0.00879,0.00245,7.0359,539.97,4.7946,0.0008515,0.0008515,0.0008515
32,14829.1,2.84824,423.882,1.89313,0.58131,0.01177,0.01291,0.00383,7.10939,556.826,4.97346,0.00084655,0.00084655,0.00084655
33,15342.1,2.81703,422.171,1.88127,0.04402,0.01553,0.01064,0.00327,6.99268,522.488,5.06239,0.0008416,0.0008416,0.0008416
34,15884.2,2.81899,416.269,1.87861,0.52355,0.03715,0.01199,0.00372,7.88876,620.23,5.58366,0.00083665,0.00083665,0.00083665
35,16350.4,2.79885,413.418,1.86984,0.03286,0.03987,0.01527,0.00516,7.40685,579.899,5.13411,0.0008317,0.0008317,0.0008317
36,16820.4,2.80176,408.324,1.86951,0.53172,0.02344,0.01174,0.0035,7.63575,589.754,5.30104,0.00082675,0.00082675,0.00082675
37,17359.2,2.81469,415.925,1.87293,0.00947,0.01937,0.00592,0.00191,7.15575,574.528,5.05627,0.0008218,0.0008218,0.0008218
38,17878.6,2.78614,415.269,1.87174,0.27436,0.01491,0.00665,0.00201,8.53739,615.465,6.01046,0.00081685,0.00081685,0.00081685
39,18341.9,2.76455,406.533,1.86589,0.01017,0.01528,0.00629,0.0022,6.43969,516.26,4.74586,0.0008119,0.0008119,0.0008119
40,18880.9,2.79282,413.839,1.86027,0.02348,0.01254,0.00975,0.00294,7.33535,546.046,5.30379,0.00080695,0.00080695,0.00080695
41,19402.1,2.78175,410.778,1.86389,0.29271,0.03607,0.01891,0.0053,6.95506,554.361,4.97797,0.000802,0.000802,0.000802
42,19931.7,2.77138,406.369,1.86141,0.0433,0.03384,0.02113,0.00671,7.15803,577.591,4.95985,0.00079705,0.00079705,0.00079705
43,20429,2.77266,409.892,1.86219,0.02303,0.00853,0.00632,0.00198,6.4905,512.369,4.59683,0.0007921,0.0007921,0.0007921
44,20926.6,2.77527,406.47,1.86092,0.0359,0.01472,0.0118,0.00396,6.35018,491.069,4.64827,0.00078715,0.00078715,0.00078715
45,21469.6,2.76896,408.781,1.86312,0.03421,0.0269,0.01614,0.00498,6.97706,549.668,5.01622,0.0007822,0.0007822,0.0007822
46,21947.3,2.74994,402.91,1.85199,0.53639,0.03089,0.0158,0.00447,7.47465,586.593,5.26553,0.00077725,0.00077725,0.00077725
47,22443.1,2.7498,402.56,1.84801,0.02292,0.01918,0.00892,0.00279,7.2413,570.022,5.15275,0.0007723,0.0007723,0.0007723
48,22902.3,2.76636,406.404,1.85232,0.01052,0.04002,0.00618,0.0022,6.89418,568.212,4.90373,0.00076735,0.00076735,0.00076735
49,23363.4,2.73878,404.833,1.85255,0.34956,0.03151,0.02445,0.0064,6.39581,489.342,4.44917,0.0007624,0.0007624,0.0007624
50,23817.6,2.77057,412.156,1.86646,0.03919,0.25719,0.03434,0.01356,7.01574,548.529,5.06997,0.00075745,0.00075745,0.00075745
51,24252.4,2.74805,404.174,1.84294,0.04453,0.04708,0.02562,0.00822,6.5836,525.211,4.81292,0.0007525,0.0007525,0.0007525
52,24701.1,2.76596,405.575,1.85711,0.28105,0.01105,0.0108,0.00341,6.95897,550.232,5.25429,0.00074755,0.00074755,0.00074755
53,25183.2,2.73521,402.217,1.84041,0.04608,0.03884,0.02423,0.00805,6.78182,566.583,4.7716,0.0007426,0.0007426,0.0007426
