epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,320.814,7.68502,1299.95,4.48723,0,0,0,0,12.2192,inf,8.60618,0.0671163,3.29167e-05,3.29167e-05
2,653.633,4.26042,538.816,2.6644,0.25085,0.01801,0.00065,0.0002,7.25541,inf,4.96257,0.0338141,6.40637e-05,6.40637e-05
3,972.297,3.4433,459.561,2.29097,0.00168,0.10305,0.00123,0.00048,7.53376,inf,5.03175,0.000509677,9.30108e-05,9.30108e-05
4,1286.91,3.18107,440.993,2.15926,0.00184,0.11895,0.00179,0.00062,7.22445,inf,4.93365,9.01e-05,9.01e-05,9.01e-05
5,1592.5,3.04268,430.494,2.09449,0.00155,0.10573,0.00172,0.00064,6.5883,inf,4.6226,8.68e-05,8.68e-05,8.68e-05
6,1904.1,2.97592,426.326,2.05406,0.00157,0.10719,0.00119,0.00045,7.09494,inf,4.98794,8.35e-05,8.35e-05,8.35e-05
7,2228.14,2.92787,417.859,2.02942,0.00162,0.11709,0.00132,0.00047,6.85302,inf,4.7021,8.02e-05,8.02e-05,8.02e-05
8,2548.84,2.86355,412.511,1.994,0.0014,0.10135,0.00102,0.00038,6.6599,inf,4.57677,7.69e-05,7.69e-05,7.69e-05
9,2862.39,2.83982,415.167,1.97628,0.00178,0.13068,0.00147,0.00052,6.88089,inf,4.85267,7.36e-05,7.36e-05,7.36e-05
10,3182.4,2.81946,411.767,1.9728,0.00147,0.10919,0.0011,0.00042,7.31194,inf,4.98569,7.03e-05,7.03e-05,7.03e-05
11,3501.49,2.78018,405.664,1.95071,0.00137,0.10492,0.00102,0.00038,7.04024,inf,4.88996,6.7e-05,6.7e-05,6.7e-05
12,3823.7,2.7698,408.157,1.94327,0.0015,0.11889,0.00125,0.00043,6.99808,inf,4.8554,6.37e-05,6.37e-05,6.37e-05
13,4144.07,2.71467,403.9,1.92157,0.00148,0.11994,0.00134,0.00048,6.94467,inf,4.88902,6.04e-05,6.04e-05,6.04e-05
14,4469.16,2.73789,400.836,1.91905,0.00131,0.10427,0.00104,0.00038,6.66471,inf,4.6476,5.71e-05,5.71e-05,5.71e-05
15,4791.32,2.69804,401.252,1.91083,0.00138,0.11314,0.00112,0.00041,6.50819,inf,4.57881,5.38e-05,5.38e-05,5.38e-05
16,5110.15,2.69423,400.142,1.90369,0.00141,0.1183,0.00125,0.00046,6.53674,inf,4.60692,5.05e-05,5.05e-05,5.05e-05
17,5437.09,2.70274,401.713,1.90889,0.00146,0.12305,0.00136,0.00048,6.43125,inf,4.498,4.72e-05,4.72e-05,4.72e-05
18,5760.86,2.67995,404.231,1.89824,0.00133,0.11076,0.00109,0.00038,6.48216,inf,4.55197,4.39e-05,4.39e-05,4.39e-05
19,6084.3,2.64505,397.408,1.88696,0.0013,0.10997,0.00112,0.0004,6.20959,inf,4.31391,4.06e-05,4.06e-05,4.06e-05
20,6407.24,2.66998,399.575,1.88446,0.00128,0.10948,0.00105,0.00037,6.31031,inf,4.40377,3.73e-05,3.73e-05,3.73e-05
21,6675.31,2.41917,774.407,1.84974,0.00154,0.12211,0.00151,0.0005,6.2094,inf,4.32848,3.4e-05,3.4e-05,3.4e-05
22,6940.97,2.39108,766.169,1.83308,0.00153,0.12195,0.00148,0.00048,6.22254,inf,4.37901,3.07e-05,3.07e-05,3.07e-05
23,7207.37,2.3842,769.924,1.82814,0.00149,0.11867,0.00136,0.00045,6.32791,inf,4.49194,2.74e-05,2.74e-05,2.74e-05
24,7475.6,2.35909,762.053,1.81821,0.0015,0.11729,0.00132,0.00044,6.14959,inf,4.33016,2.41e-05,2.41e-05,2.41e-05
25,7745.3,2.36275,766.757,1.81396,0.00156,0.12606,0.0015,0.00047,6.52616,inf,4.69389,2.08e-05,2.08e-05,2.08e-05
26,8016.1,2.35655,767.94,1.8076,0.00157,0.1252,0.00164,0.00052,6.39921,inf,4.51435,1.75e-05,1.75e-05,1.75e-05
27,8283.91,2.33747,759.942,1.8027,0.00156,0.12327,0.00147,0.00047,6.34105,inf,4.47387,1.42e-05,1.42e-05,1.42e-05
