epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,504.252,5.83856,2.71461,3.51716,0.0008,0.02569,0.00044,0.00014,9.0448,inf,6.40883,0.0674125,0.000329167,0.000329167
2,1000.46,3.29969,1.98808,2.20001,0.00095,0.10231,0.00179,0.00076,6.79597,inf,4.88557,0.0344092,0.000659221,0.000659221
3,1507.3,3.09039,1.98515,2.10152,8e-05,0.09852,0.00016,5e-05,8.45712,inf,6.0331,0.00140264,0.000985975,0.000985975
4,2009.31,2.99821,1.98487,2.04531,0.00686,0.00742,0.00367,0.00149,8.36272,inf,5.98473,0.00098515,0.00098515,0.00098515
5,2499.63,2.91392,1.98481,2.01438,0,0,0,0,9.06776,inf,6.65295,0.0009802,0.0009802,0.0009802
6,3001.43,2.84362,1.9848,1.97908,0,0,0,0,7.39477,inf,6.294,0.00097525,0.00097525,0.00097525
7,3497.24,2.80308,1.9848,1.95586,0.00101,0.03974,0.00328,0.0013,7.24289,inf,5.12094,0.0009703,0.0009703,0.0009703
8,3981.02,2.75191,1.9848,1.93091,0.00103,0.07222,0.00078,0.00027,6.41915,inf,4.62667,0.00096535,0.00096535,0.00096535
9,4454.59,2.74657,1.98479,1.93025,0.00128,0.09232,0.00105,0.00034,6.86395,inf,4.88469,0.0009604,0.0009604,0.0009604
10,4936.15,2.73134,1.98479,1.92787,0,0,0,0,7.72587,inf,5.67243,0.00095545,0.00095545,0.00095545
11,5425.2,2.69127,1.98479,1.90576,0,0,0,0,7.2665,inf,5.29702,0.0009505,0.0009505,0.0009505
12,5889.18,2.68747,1.98479,1.8994,0.00127,0.08379,0.00099,0.00027,7.1105,inf,5.17562,0.00094555,0.00094555,0.00094555
13,6351,2.64907,1.98478,1.88937,0.00183,0.09607,0.0014,0.00046,7.71942,inf,5.69591,0.0009406,0.0009406,0.0009406
14,6868.07,2.67506,1.98479,1.89252,0,0,0,0,7.04477,inf,5.35478,0.00093565,0.00093565,0.00093565
15,7333.19,2.65019,1.98478,1.89331,0,0,0,0,6.75308,inf,4.96857,0.0009307,0.0009307,0.0009307
16,7846.8,2.63852,1.98478,1.87875,0,0,0,0,6.48481,inf,4.62143,0.00092575,0.00092575,0.00092575
17,8367.47,2.65548,1.98478,1.89274,0,0,0,0,6.67042,inf,4.85925,0.0009208,0.0009208,0.0009208
18,8905.51,2.63201,1.98478,1.88157,0,0,0,0,7.68696,inf,5.56709,0.00091585,0.00091585,0.00091585
19,9445.25,2.59119,1.98478,1.86959,0,0,0,0,7.68734,inf,5.47725,0.0009109,0.0009109,0.0009109
20,9928.68,2.63004,1.98478,1.87426,0,0,0,0,6.6006,inf,4.83879,0.00090595,0.00090595,0.00090595
21,10434.4,2.60433,1.98478,1.87752,0,0,0,0,7.7826,inf,5.53322,0.000901,0.000901,0.000901
22,10965.4,2.61465,1.98479,1.87502,0,0,0,0,7.35044,inf,5.11193,0.00089605,0.00089605,0.00089605
23,11483.7,2.57569,1.98478,1.85274,0,0,0,0,8.03749,inf,6.05271,0.0008911,0.0008911,0.0008911
24,11997.9,2.60176,1.98478,1.86652,2e-05,0.00136,1e-05,0,6.90812,inf,5.01193,0.00088615,0.00088615,0.00088615
25,12510.6,2.57868,1.98478,1.85905,0,0,0,0,6.15499,inf,4.54837,0.0008812,0.0008812,0.0008812
26,13038.5,2.57844,1.98478,1.85831,0,0,0,0,6.96513,inf,4.96479,0.00087625,0.00087625,0.00087625
27,13502.8,2.575,1.98478,1.85398,0,0,0,0,6.37042,inf,4.52678,0.0008713,0.0008713,0.0008713
28,13956.8,2.59642,1.98478,1.86201,0,0,0,0,7.12139,inf,5.03463,0.00086635,0.00086635,0.00086635
29,14462.9,2.56168,1.98478,1.85194,0,0,0,0,6.32207,inf,4.4674,0.0008614,0.0008614,0.0008614
30,14935.6,2.54388,1.98478,1.84669,0,0,0,0,6.5234,inf,4.71322,0.00085645,0.00085645,0.00085645
31,15379.6,2.5372,1.98478,1.83967,0,0,0,0,7.54727,inf,5.20129,0.0008515,0.0008515,0.0008515
32,15862.6,2.54429,1.98478,1.8445,0,0.00023,0,0,7.74289,inf,5.46983,0.00084655,0.00084655,0.00084655
33,16277.7,2.54192,1.98478,1.84414,8e-05,0.00716,4e-05,1e-05,6.06138,inf,4.58772,0.0008416,0.0008416,0.0008416
34,16718,2.54888,1.98478,1.8403,0,0,0,0,6.96183,inf,4.9712,0.00083665,0.00083665,0.00083665
35,17208,2.5301,1.98478,1.83262,0.00134,0.1046,0.00116,0.0004,7.72232,inf,5.65707,0.0008317,0.0008317,0.0008317
36,17695,2.53589,1.98478,1.83528,0,0,0,0,7.21389,inf,5.21499,0.00082675,0.00082675,0.00082675
37,18178.3,2.55019,1.98478,1.83518,2e-05,0.00217,1e-05,0,5.98385,inf,4.27463,0.0008218,0.0008218,0.0008218
38,18695.2,2.51382,1.98478,1.83441,0,0,0,0,7.37738,inf,5.31257,0.00081685,0.00081685,0.00081685
39,19168.3,2.50516,1.98478,1.8316,0,0,0,0,6.26353,inf,4.72035,0.0008119,0.0008119,0.0008119
