epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,175.899,2.57372,5.2793,1.67073,0.04515,0.20391,0.02886,0.00739,2.95311,inf,2.35659,0.0675375,0.0006625,0.0006625
2,322.947,2.48811,2.82813,1.68589,0.02663,0.04433,0.01435,0.00523,2.94928,3.50508,2.45832,0.0348708,0.00132909,0.00132909
3,472.77,2.46362,2.74202,1.78626,0.29151,0.03021,0.01232,0.004,2.97003,inf,2.54653,0.00220368,0.00199535,0.00199535
4,622.264,2.42062,2.80052,1.64441,0.59144,0.07218,0.03067,0.01075,3.28373,3.5579,2.52965,0.0019989,0.0019989,0.0019989
5,771.707,2.4374,2.58376,1.61872,0.33313,0.0323,0.0199,0.00655,3.35239,3.33938,2.76357,0.00199805,0.00199805,0.00199805
6,919.056,2.33905,2.44221,1.6685,0.59282,0.09486,0.05635,0.0184,2.55876,3.20636,2.14516,0.00199695,0.00199695,0.00199695
7,1094.42,2.36335,2.37345,1.69568,0.36271,0.08724,0.03554,0.0119,2.89262,3.6112,2.45789,0.00199561,0.00199561,0.00199561
8,1282.23,2.34427,2.33501,1.6358,0.12807,0.0866,0.05502,0.02019,2.65801,4.03836,2.05202,0.00199402,0.00199402,0.00199402
9,1471.68,2.37432,2.29689,1.61039,0.04944,0.285,0.06411,0.01865,2.94547,3.54769,2.3226,0.00199219,0.00199219,0.00199219
10,1656.91,2.30284,2.17465,1.60606,0.31193,0.07172,0.03347,0.0102,2.90553,3.3391,2.28138,0.00199012,0.00199012,0.00199012
11,1842.11,2.32384,2.13038,1.62368,0.39343,0.06762,0.05041,0.02049,2.965,3.48639,2.32584,0.00198781,0.00198781,0.00198781
12,2028.46,2.32833,2.16742,1.60247,0.09912,0.06452,0.03887,0.01189,2.74834,3.14608,2.24558,0.00198526,0.00198526,0.00198526
13,2210.76,2.31059,2.26484,1.57757,0.15263,0.09909,0.05423,0.01362,2.93429,3.08832,2.39369,0.00198246,0.00198246,0.00198246
14,2394.52,2.316,2.15201,1.54763,0.55486,0.05591,0.0445,0.01298,2.53775,3.19551,2.09113,0.00197943,0.00197943,0.00197943
15,2579.49,2.25789,2.22197,1.59872,0.06765,0.08485,0.05077,0.01645,2.54182,2.99762,2.10623,0.00197616,0.00197616,0.00197616
16,2764.82,2.18331,2.03388,1.55996,0.07665,0.11172,0.0543,0.01517,2.8892,3.23992,2.4251,0.00197265,0.00197265,0.00197265
17,2951.83,2.22981,2.1083,1.55267,0.18193,0.08014,0.05908,0.01739,2.8405,2.87572,2.29823,0.0019689,0.0019689,0.0019689
18,3135.85,2.1752,2.01718,1.51161,0.68168,0.0439,0.0446,0.01436,2.83834,3.42046,2.31861,0.00196491,0.00196491,0.00196491
19,3325.15,2.22958,2.08766,1.51819,0.14536,0.06509,0.03859,0.01098,2.93832,3.29452,2.40529,0.00196069,0.00196069,0.00196069
20,3509.08,2.23014,2.14421,1.57088,0.12718,0.08739,0.06706,0.02271,2.61355,3.21742,2.10187,0.00195624,0.00195624,0.00195624
21,3691.39,2.18278,2.18117,1.47209,0.08401,0.08467,0.03303,0.01142,3.22275,2.92942,2.51329,0.00195155,0.00195155,0.00195155
22,3878.15,2.15744,1.99295,1.50782,0.0451,0.04074,0.02018,0.00626,3.31761,3.24412,2.61105,0.00194662,0.00194662,0.00194662
23,4066.76,2.19899,2.07558,1.55053,0.08621,0.10518,0.04286,0.01295,2.95225,2.97461,2.46986,0.00194147,0.00194147,0.00194147
24,4255.87,2.17442,1.94962,1.53478,0.08886,0.09965,0.04132,0.01362,2.68192,3.26196,2.11658,0.00193609,0.00193609,0.00193609
25,4442.21,2.2073,1.94617,1.50848,0.10789,0.08613,0.05208,0.01368,2.89928,3.0692,2.39308,0.00193048,0.00193048,0.00193048
26,4626.29,2.18446,1.91488,1.47894,0.2097,0.0952,0.06251,0.0221,2.68422,3.48764,2.18991,0.00192464,0.00192464,0.00192464
27,4810.13,2.20511,1.96929,1.53698,0.4193,0.14566,0.10005,0.02192,2.91635,2.85532,2.35395,0.00191858,0.00191858,0.00191858
28,4993.43,2.1638,1.89824,1.45311,0.15127,0.14317,0.08035,0.02708,2.68941,3.02745,2.19869,0.00191229,0.00191229,0.00191229
29,5177.62,2.20152,1.97926,1.51425,0.14123,0.23759,0.08541,0.02019,2.98173,3.00294,2.48433,0.00190578,0.00190578,0.00190578
30,5366.21,2.15566,2.08014,1.52924,0.61666,0.06768,0.06293,0.01935,2.84847,3.00048,2.26015,0.00189905,0.00189905,0.00189905
31,5551.37,2.14183,2.04987,1.5022,0.10688,0.11967,0.05982,0.02077,2.63549,3.20442,2.14466,0.0018921,0.0018921,0.0018921
32,5737.03,2.20908,2.04099,1.50962,0.50002,0.05471,0.06321,0.01975,2.5713,3.28988,2.107,0.00188493,0.00188493,0.00188493
33,5920.5,2.21477,2.05477,1.52623,0.6543,0.03386,0.04319,0.01457,2.72445,3.27413,2.27633,0.00187754,0.00187754,0.00187754
34,6105.09,2.21937,2.06181,1.55381,0.12722,0.23123,0.09439,0.02831,2.54577,2.76314,2.08033,0.00186995,0.00186995,0.00186995
35,6286.61,2.12545,1.87352,1.50652,0.06847,0.15211,0.0385,0.01026,2.52785,3.18496,2.16753,0.00186213,0.00186213,0.00186213
36,6469.15,2.14502,1.92045,1.44375,0.07162,0.13113,0.0559,0.01545,2.72167,3.24172,2.36815,0.00185411,0.00185411,0.00185411
37,6649.53,2.16866,2.00233,1.52438,0.08205,0.11566,0.06209,0.01777,2.59112,2.98394,2.11899,0.00184588,0.00184588,0.00184588
38,6833.03,2.18906,1.98499,1.50974,0.1132,0.17403,0.09699,0.02845,2.5633,2.89846,2.11291,0.00183745,0.00183745,0.00183745
39,7017.8,2.1298,1.81068,1.51116,0.16837,0.17388,0.10292,0.02773,2.6855,2.74998,2.19545,0.00182881,0.00182881,0.00182881
40,7197.37,2.1485,1.96814,1.50057,0.13298,0.15272,0.06581,0.02052,2.64465,3.0343,2.17811,0.00181997,0.00181997,0.00181997
41,7385.89,2.13213,1.90698,1.47289,0.25394,0.06176,0.06863,0.02344,2.67425,3.15716,2.24446,0.00181093,0.00181093,0.00181093
42,7571.82,2.1872,1.96562,1.5255,0.12936,0.14246,0.05784,0.01802,2.63082,2.88605,2.24423,0.00180169,0.00180169,0.00180169
43,7750.5,2.21235,1.9474,1.53311,0.14117,0.06381,0.03855,0.01319,2.86192,2.97663,2.31086,0.00179225,0.00179225,0.00179225
44,7934.27,2.18863,1.9277,1.52784,0.12708,0.07824,0.04814,0.01485,2.68095,3.07471,2.19695,0.00178263,0.00178263,0.00178263
45,8118.92,2.13981,1.89695,1.49596,0.15525,0.08679,0.0374,0.01151,2.66129,3.10084,2.19605,0.00177281,0.00177281,0.00177281
46,8299.33,2.1435,1.8161,1.47556,0.0948,0.14007,0.05267,0.01632,2.68943,3.02037,2.23259,0.0017628,0.0017628,0.0017628
47,8482.27,2.16756,1.84135,1.50758,0.10762,0.06918,0.03955,0.01291,2.78113,3.21814,2.18371,0.00175261,0.00175261,0.00175261
48,8663.49,2.1422,1.96606,1.47936,0.09682,0.13921,0.04969,0.01542,2.67841,2.89506,2.15967,0.00174223,0.00174223,0.00174223
49,8847.46,2.15988,1.85758,1.51558,0.0965,0.06535,0.0527,0.01777,2.67544,2.9185,2.18782,0.00173168,0.00173168,0.00173168
50,9028.86,2.04318,1.71677,1.44817,0.08516,0.12816,0.06717,0.01862,2.7849,2.87254,2.27492,0.00172095,0.00172095,0.00172095
51,9203.45,2.1179,1.72754,1.47484,0.14492,0.14811,0.08002,0.02191,2.55841,2.87237,2.12927,0.00171004,0.00171004,0.00171004
52,9387.28,2.11195,1.78767,1.50326,0.15336,0.16873,0.09059,0.02067,2.7783,2.82273,2.27764,0.00169895,0.00169895,0.00169895
53,9568.83,2.07003,1.746,1.46887,0.13815,0.17588,0.08947,0.0209,2.67879,2.82074,2.22548,0.0016877,0.0016877,0.0016877
54,9750.65,2.08236,1.85858,1.44891,0.09533,0.16154,0.0683,0.01841,2.6883,2.8439,2.17912,0.00167628,0.00167628,0.00167628
55,9929.15,2.0584,1.74535,1.45334,0.07681,0.1528,0.05402,0.01602,2.68774,3.15129,2.17444,0.0016647,0.0016647,0.0016647
56,10111.1,2.14039,1.8522,1.49531,0.13067,0.11724,0.05599,0.01591,2.72576,2.9472,2.23484,0.00165295,0.00165295,0.00165295
57,10294.5,2.1829,1.92953,1.57184,0.07537,0.13175,0.05103,0.01563,2.57323,2.92235,2.08565,0.00164105,0.00164105,0.00164105
58,10475.1,2.07466,1.95571,1.45219,0.10766,0.13597,0.07,0.0188,2.6724,2.92561,2.18778,0.00162899,0.00162899,0.00162899
59,10659.4,2.10779,1.73642,1.4945,0.07515,0.16379,0.06223,0.01854,2.73125,2.93138,2.19361,0.00161678,0.00161678,0.00161678
60,10841.3,2.02492,1.81141,1.48865,0.09809,0.18378,0.06685,0.01816,2.75851,2.92623,2.23002,0.00160442,0.00160442,0.00160442
61,11026.2,2.11254,1.76904,1.44407,0.11633,0.17089,0.08197,0.02052,2.67359,2.92997,2.19774,0.00159191,0.00159191,0.00159191
62,11204.4,2.05672,1.81529,1.4204,0.12779,0.16889,0.08453,0.02367,2.54328,2.76048,2.09541,0.00157926,0.00157926,0.00157926
63,11389.9,2.06283,1.67826,1.46112,0.14129,0.17243,0.09244,0.02511,2.60949,2.73803,2.10868,0.00156646,0.00156646,0.00156646
64,11577,2.03167,1.80719,1.45913,0.10881,0.19371,0.08015,0.02041,2.65685,2.80831,2.18228,0.00155353,0.00155353,0.00155353
65,11755.3,2.02482,1.66674,1.40087,0.09026,0.1942,0.06981,0.01933,2.61607,3.00378,2.13515,0.00154047,0.00154047,0.00154047
66,11937.6,2.11572,1.87456,1.55373,0.08473,0.18273,0.06229,0.01665,2.58554,3.00859,2.13023,0.00152727,0.00152727,0.00152727
67,12120.4,2.04924,1.70307,1.47089,0.07381,0.16519,0.05647,0.01467,2.61699,2.97402,2.16523,0.00151395,0.00151395,0.00151395
68,12303.8,2.08873,1.88038,1.45628,0.07175,0.16288,0.05996,0.0155,2.60849,2.97128,2.1526,0.0015005,0.0015005,0.0015005
69,12481.2,2.08636,1.72031,1.40287,0.06359,0.16131,0.05529,0.01498,2.61716,2.95159,2.15398,0.00148694,0.00148694,0.00148694
70,12663.5,2.08321,1.80821,1.43551,0.06877,0.16486,0.0603,0.01682,2.60931,2.99833,2.15166,0.00147325,0.00147325,0.00147325
71,12847.4,2.07675,1.65279,1.44409,0.07513,0.17833,0.06732,0.0188,2.6416,2.92697,2.17422,0.00145945,0.00145945,0.00145945
72,13033.6,2.13923,1.79972,1.48962,0.08124,0.18189,0.06497,0.01679,2.64747,2.90845,2.19282,0.00144554,0.00144554,0.00144554
73,13219.5,2.09747,1.74287,1.44689,0.0867,0.1896,0.06146,0.0153,2.68618,2.87098,2.22122,0.00143152,0.00143152,0.00143152
74,13400.7,2.02918,1.64561,1.44557,0.09599,0.15066,0.06177,0.01464,2.71187,2.83192,2.23755,0.0014174,0.0014174,0.0014174
75,13584.3,2.07854,1.72262,1.46795,0.09641,0.14343,0.05614,0.01402,2.70914,2.79927,2.22996,0.00140318,0.00140318,0.00140318
76,13765.5,2.02879,1.66884,1.45479,0.105,0.1369,0.06077,0.01576,2.66337,2.81916,2.17832,0.00138886,0.00138886,0.00138886
77,13948,2.09545,1.71406,1.48034,0.11265,0.14047,0.06402,0.01583,2.68541,2.76163,2.19347,0.00137444,0.00137444,0.00137444
78,14134,2.06693,1.88517,1.45896,0.09356,0.15773,0.0642,0.01575,2.67798,2.77543,2.19116,0.00135994,0.00135994,0.00135994
79,14318.8,2.08687,1.86586,1.45131,0.09459,0.16729,0.06912,0.01589,2.65861,2.85331,2.184,0.00134535,0.00134535,0.00134535
80,14502.7,2.08753,1.73607,1.50327,0.11054,0.15493,0.07676,0.01657,2.66343,2.85939,2.19578,0.00133068,0.00133068,0.00133068
81,14685.9,1.98135,1.57861,1.41911,0.11467,0.14781,0.07851,0.01734,2.64333,2.85414,2.18731,0.00131593,0.00131593,0.00131593
82,14870,2.05529,1.64264,1.45244,0.11638,0.13915,0.07693,0.0183,2.63849,2.85209,2.17598,0.0013011,0.0013011,0.0013011
83,15051.6,2.06522,1.65024,1.47695,0.11552,0.15344,0.08055,0.01875,2.63707,2.87735,2.18056,0.0012862,0.0012862,0.0012862
84,15233.3,2.0333,1.60595,1.46167,0.1126,0.16554,0.07965,0.01872,2.63634,2.8964,2.1847,0.00127123,0.00127123,0.00127123
85,15416.9,2.11954,1.68844,1.49849,0.11658,0.16046,0.08298,0.01934,2.61518,2.87128,2.17251,0.0012562,0.0012562,0.0012562
86,15601.2,2.04495,1.67208,1.50325,0.11508,0.16132,0.08069,0.01936,2.61134,2.86653,2.16912,0.00124111,0.00124111,0.00124111
87,15783.1,2.03601,1.70666,1.44918,0.11172,0.15824,0.07641,0.01878,2.61183,2.86917,2.16395,0.00122596,0.00122596,0.00122596
88,15968.3,2.05401,1.67553,1.50332,0.10992,0.1609,0.07631,0.01859,2.62255,2.87559,2.17185,0.00121076,0.00121076,0.00121076
89,16152.7,1.99226,1.55618,1.42173,0.11034,0.15819,0.07789,0.01887,2.6141,2.87615,2.16205,0.00119551,0.00119551,0.00119551
90,16333.9,2.06249,1.7048,1.45905,0.11234,0.16631,0.07809,0.01902,2.61524,2.88467,2.15336,0.00118021,0.00118021,0.00118021
91,16513.2,2.05623,1.66688,1.46321,0.11217,0.16878,0.07878,0.01931,2.62135,2.8786,2.15202,0.00116487,0.00116487,0.00116487
92,16698.8,1.96749,1.62725,1.41365,0.1079,0.17305,0.07738,0.01901,2.63129,2.88234,2.15543,0.00114949,0.00114949,0.00114949
93,16880.2,2.05107,1.69068,1.49835,0.10782,0.17199,0.07672,0.0186,2.639,2.88179,2.15859,0.00113408,0.00113408,0.00113408
94,17066.3,1.99044,1.58564,1.41225,0.1044,0.1659,0.07249,0.01817,2.64785,2.89357,2.16027,0.00111864,0.00111864,0.00111864
95,17245,2.00434,1.58457,1.43542,0.10268,0.15862,0.07146,0.01781,2.65084,2.89283,2.15849,0.00110317,0.00110317,0.00110317
96,17429.5,2.03176,1.63962,1.43223,0.10041,0.15362,0.07031,0.01775,2.64787,2.90015,2.15413,0.00108767,0.00108767,0.00108767
97,17611.5,2.0506,1.57117,1.42971,0.09847,0.14917,0.06745,0.01712,2.64723,2.90616,2.15163,0.00107216,0.00107216,0.00107216
98,17792.7,2.00413,1.64931,1.39996,0.09475,0.14704,0.06538,0.01697,2.64687,2.91325,2.14848,0.00105664,0.00105664,0.00105664
99,17980.8,1.99,1.53052,1.43625,0.09951,0.14207,0.06795,0.01731,2.64601,2.90215,2.14662,0.0010411,0.0010411,0.0010411
100,18166.8,2.02373,1.61373,1.45873,0.09907,0.14187,0.06804,0.01737,2.64197,2.89882,2.14303,0.00102555,0.00102555,0.00102555
101,18350.9,1.99174,1.46765,1.46596,0.10318,0.14203,0.06945,0.01762,2.63951,2.87451,2.14127,0.00101,0.00101,0.00101
102,18535.9,2.00077,1.55992,1.41486,0.10175,0.14064,0.0689,0.01765,2.63487,2.87485,2.13704,0.00099445,0.00099445,0.00099445
103,18718.9,2.04434,1.726,1.43382,0.09528,0.14367,0.06639,0.01755,2.62841,2.8805,2.13026,0.000978903,0.000978903,0.000978903
104,18902.7,1.98313,1.53905,1.40318,0.09618,0.14804,0.06747,0.0178,2.6253,2.86768,2.12849,0.000963365,0.000963365,0.000963365
105,19086.7,1.9842,1.50972,1.42774,0.09509,0.14731,0.06562,0.01729,2.62977,2.86662,2.13266,0.000947837,0.000947837,0.000947837
106,19267.6,2.06855,1.65111,1.44577,0.09362,0.14468,0.06471,0.01726,2.62877,2.86731,2.13058,0.000932325,0.000932325,0.000932325
107,19453.7,1.98119,1.52261,1.42375,0.09371,0.15023,0.06527,0.01736,2.62696,2.85771,2.12883,0.000916833,0.000916833,0.000916833
108,19639,1.95657,1.55438,1.40171,0.09469,0.14994,0.06557,0.01742,2.62745,2.85223,2.1296,0.000901363,0.000901363,0.000901363
109,19823.3,2.01342,1.57814,1.45562,0.09299,0.15531,0.06455,0.01731,2.62774,2.84715,2.13029,0.00088592,0.00088592,0.00088592
110,20010.8,2.0416,1.58384,1.46985,0.09134,0.15375,0.06382,0.01731,2.62746,2.84799,2.12949,0.000870508,0.000870508,0.000870508
111,20193.3,1.98428,1.52837,1.41889,0.08946,0.15691,0.06266,0.01714,2.6261,2.85143,2.1272,0.00085513,0.00085513,0.00085513
112,20375.3,2.0349,1.50727,1.42618,0.08997,0.14751,0.06168,0.01684,2.62795,2.85385,2.12797,0.00083979,0.00083979,0.00083979
113,20556.6,1.97281,1.54634,1.38949,0.08794,0.14594,0.06097,0.01691,2.62794,2.85421,2.12864,0.000824492,0.000824492,0.000824492
114,20737.1,2.00992,1.57166,1.40094,0.08777,0.14004,0.06112,0.01692,2.62695,2.85397,2.12752,0.000809241,0.000809241,0.000809241
115,20921.6,1.99528,1.60349,1.4345,0.08921,0.14082,0.0621,0.01703,2.62452,2.85082,2.12684,0.000794038,0.000794038,0.000794038
116,21105.8,1.89948,1.46455,1.39397,0.08972,0.13783,0.06185,0.01703,2.62698,2.8452,2.1298,0.000778889,0.000778889,0.000778889
117,21291.1,1.99908,1.51237,1.40089,0.08916,0.13711,0.0618,0.01701,2.62845,2.84737,2.13102,0.000763797,0.000763797,0.000763797
118,21477.2,1.95883,1.44778,1.38427,0.08838,0.13834,0.06116,0.01683,2.62838,2.84904,2.13084,0.000748766,0.000748766,0.000748766
119,21657.4,1.97194,1.48906,1.38274,0.08882,0.13967,0.06079,0.01683,2.62924,2.84551,2.13121,0.000733799,0.000733799,0.000733799
120,21836.4,1.92706,1.47341,1.38799,0.08821,0.14119,0.06073,0.01684,2.6302,2.84323,2.13198,0.0007189,0.0007189,0.0007189
121,22017.8,1.98207,1.46592,1.40755,0.08699,0.13954,0.05972,0.01648,2.63045,2.84075,2.13226,0.000704073,0.000704073,0.000704073
122,22201.3,1.98248,1.46637,1.37088,0.08886,0.13451,0.0622,0.0169,2.62939,2.8379,2.1322,0.000689322,0.000689322,0.000689322
123,22381.4,1.93213,1.5107,1.38561,0.08643,0.13628,0.06004,0.01669,2.62902,2.83679,2.13226,0.000674649,0.000674649,0.000674649
124,22568.6,1.97578,1.51475,1.42207,0.08876,0.1357,0.06276,0.01712,2.62664,2.83138,2.1316,0.00066006,0.00066006,0.00066006
125,22752.1,1.95569,1.44736,1.3738,0.0874,0.13718,0.06207,0.01686,2.62444,2.82776,2.13093,0.000645557,0.000645557,0.000645557
126,22936.9,1.93367,1.46665,1.38647,0.08808,0.13706,0.06253,0.01699,2.6219,2.82616,2.13014,0.000631143,0.000631143,0.000631143
127,23120.4,1.99078,1.45779,1.40129,0.08816,0.13875,0.06279,0.01712,2.61962,2.82284,2.12967,0.000616824,0.000616824,0.000616824
128,23303.7,1.97073,1.43798,1.39108,0.08988,0.14,0.06263,0.01708,2.61789,2.8214,2.12849,0.000602601,0.000602601,0.000602601
129,23487.3,1.92742,1.41348,1.42706,0.08983,0.14529,0.06364,0.01735,2.61652,2.81972,2.12802,0.000588479,0.000588479,0.000588479
130,23669,1.95681,1.39434,1.37892,0.08976,0.14569,0.06224,0.01712,2.61545,2.81848,2.12731,0.00057446,0.00057446,0.00057446
131,23848.9,2.02229,1.55154,1.40121,0.08892,0.14929,0.06267,0.01719,2.61414,2.81625,2.1263,0.000560549,0.000560549,0.000560549
132,24035.4,1.92144,1.50945,1.39123,0.09098,0.14026,0.06413,0.01745,2.6129,2.815,2.1258,0.000546749,0.000546749,0.000546749
133,24219.3,1.92965,1.4795,1.3834,0.088,0.15004,0.06159,0.01703,2.61191,2.81295,2.12508,0.000533064,0.000533064,0.000533064
134,24405.3,1.98273,1.51447,1.40853,0.08815,0.15031,0.06091,0.01696,2.61018,2.80964,2.12427,0.000519496,0.000519496,0.000519496
135,24589,2.03068,1.47798,1.40654,0.08822,0.1498,0.06084,0.01689,2.60972,2.80806,2.12435,0.000506049,0.000506049,0.000506049
136,24769.7,1.90896,1.50484,1.35396,0.08829,0.15015,0.06063,0.01687,2.60903,2.80552,2.12414,0.000492726,0.000492726,0.000492726
137,24952.1,1.92418,1.41554,1.39079,0.0889,0.15446,0.06113,0.01692,2.60909,2.80255,2.12474,0.000479531,0.000479531,0.000479531
138,25136.4,1.95724,1.50464,1.39256,0.08979,0.15398,0.06091,0.01687,2.60966,2.79929,2.12575,0.000466467,0.000466467,0.000466467
