epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,412.352,2.27002,2.51128,1.58748,0.78924,0.02168,0.02333,0.00665,2.81559,4.57361,2.33831,0.0675375,0.0006625,0.0006625
2,806.989,2.11808,1.61436,1.52955,0.79645,0.03097,0.0382,0.01266,2.89194,4.02983,2.52219,0.0348708,0.00132909,0.00132909
3,1203.75,2.0955,1.51912,1.54446,0.05135,0.09487,0.03548,0.0107,2.82656,5.0876,2.34192,0.00220368,0.00199535,0.00199535
4,1600.21,2.08067,1.46167,1.56579,0.57116,0.04263,0.03264,0.00891,2.80562,3.83316,2.33076,0.0019989,0.0019989,0.0019989
5,1995.64,2.04334,1.39094,1.53546,0.36928,0.05892,0.04647,0.01236,2.95647,3.42813,2.63395,0.00199805,0.00199805,0.00199805
6,2393.57,2.04962,1.39243,1.55554,0.35512,0.07632,0.03902,0.01288,2.84371,4.51139,2.32964,0.00199695,0.00199695,0.00199695
7,2792.57,2.01349,1.3457,1.52017,0.20041,0.08484,0.06546,0.01718,2.98635,3.39937,2.47719,0.00199561,0.00199561,0.00199561
8,3195.77,2.00619,1.30942,1.51567,0.3112,0.0654,0.03309,0.01106,2.91657,4.00695,2.45574,0.00199402,0.00199402,0.00199402
9,3603.41,2.01365,1.32456,1.51834,0.54514,0.09111,0.05224,0.01714,2.84185,3.47262,2.39823,0.00199219,0.00199219,0.00199219
10,4011.53,2.00197,1.29774,1.52433,0.35319,0.06899,0.05041,0.01525,2.66003,3.53502,2.23592,0.00199012,0.00199012,0.00199012
11,4460.48,1.97791,1.26322,1.49903,0.33749,0.06679,0.04299,0.01286,2.78873,3.33006,2.39279,0.00198781,0.00198781,0.00198781
12,4931.65,1.98359,1.28095,1.5136,0.37687,0.04579,0.04345,0.0152,2.78586,3.62343,2.42901,0.00198526,0.00198526,0.00198526
13,5400.46,1.99521,1.27079,1.51021,0.14348,0.09221,0.06091,0.02068,2.74561,3.69379,2.27784,0.00198246,0.00198246,0.00198246
14,5865.45,1.99582,1.26712,1.51563,0.12967,0.09415,0.05486,0.01829,2.73718,3.41509,2.30906,0.00197943,0.00197943,0.00197943
15,6325.36,1.97363,1.2716,1.50431,0.36012,0.05508,0.05351,0.01746,2.91184,3.66925,2.60407,0.00197616,0.00197616,0.00197616
16,6788.13,1.96358,1.23686,1.49898,0.105,0.05339,0.03576,0.01277,3.10902,3.29512,2.73895,0.00197265,0.00197265,0.00197265
17,7257.89,1.97906,1.23176,1.50765,0.18263,0.11754,0.04685,0.01365,2.98341,3.3464,2.66659,0.0019689,0.0019689,0.0019689
18,7729.06,1.96428,1.22836,1.50221,0.18387,0.05903,0.05078,0.01551,2.90054,3.70042,2.42327,0.00196491,0.00196491,0.00196491
19,8195.04,1.96396,1.22774,1.48936,0.19701,0.09462,0.06033,0.0158,2.75435,3.19347,2.3704,0.00196069,0.00196069,0.00196069
20,8663.25,1.95585,1.23251,1.50369,0.11155,0.09457,0.03868,0.01348,2.77925,3.28484,2.43273,0.00195624,0.00195624,0.00195624
21,9122.56,1.95447,1.21292,1.49505,0.31557,0.04384,0.03536,0.01329,2.92986,3.77236,2.70037,0.00195155,0.00195155,0.00195155
22,9575.52,1.94723,1.21203,1.48677,0.55804,0.05291,0.05788,0.02182,2.84593,3.32591,2.41625,0.00194662,0.00194662,0.00194662
23,10033.1,1.96144,1.22455,1.48714,0.03032,0.26342,0.04471,0.01392,2.8751,4.25697,2.53293,0.00194147,0.00194147,0.00194147
24,10502.3,1.94564,1.2072,1.49196,0.10923,0.07071,0.04591,0.01467,2.77834,3.21815,2.45576,0.00193609,0.00193609,0.00193609
25,10958.3,1.95251,1.21911,1.49963,0.04563,0.17334,0.0494,0.01835,2.82991,4.2041,2.31629,0.00193048,0.00193048,0.00193048
26,11412.2,1.9561,1.22127,1.48269,0.55213,0.05982,0.05221,0.01734,2.99677,4.06634,2.42242,0.00192464,0.00192464,0.00192464
27,11869.8,1.95441,1.21785,1.49018,0.23041,0.09493,0.0748,0.02694,2.65045,3.18225,2.30498,0.00191858,0.00191858,0.00191858
28,12323.3,1.9505,1.20508,1.48292,0.14434,0.07195,0.03884,0.01317,3.10905,3.60378,2.74425,0.00191229,0.00191229,0.00191229
29,12785.1,1.949,1.19614,1.47871,0.29764,0.07302,0.06952,0.02226,2.64319,3.32865,2.29001,0.00190578,0.00190578,0.00190578
30,13240.2,1.9345,1.18398,1.48129,0.18984,0.04892,0.04994,0.01759,2.67512,3.68474,2.31422,0.00189905,0.00189905,0.00189905
31,13697.6,1.94587,1.18887,1.48368,0.21903,0.07945,0.06611,0.02002,2.80298,3.86277,2.38078,0.0018921,0.0018921,0.0018921
32,14161.6,1.95014,1.19706,1.49164,0.37449,0.08896,0.04876,0.01381,2.90427,3.40132,2.63419,0.00188493,0.00188493,0.00188493
33,14617.9,1.95185,1.19725,1.47982,0.24292,0.10303,0.05452,0.01763,2.78181,3.07084,2.39435,0.00187754,0.00187754,0.00187754
34,15078.4,1.93991,1.15928,1.48092,0.15307,0.07383,0.05257,0.01955,2.81157,3.44949,2.45254,0.00186995,0.00186995,0.00186995
35,15545.1,1.93396,1.17249,1.48621,0.17812,0.11508,0.05335,0.01732,2.73376,3.10827,2.37048,0.00186213,0.00186213,0.00186213
36,16005,1.94234,1.18435,1.47273,0.24459,0.09155,0.05968,0.0234,3.02458,3.45823,2.64648,0.00185411,0.00185411,0.00185411
37,16470.1,1.93555,1.17719,1.48519,0.18094,0.06994,0.0497,0.01742,2.83407,3.68784,2.52569,0.00184588,0.00184588,0.00184588
38,16923.1,1.93571,1.1702,1.47064,0.34822,0.10098,0.06667,0.0212,2.78576,3.05395,2.46455,0.00183745,0.00183745,0.00183745
39,17383.6,1.92893,1.17173,1.47361,0.06807,0.09042,0.053,0.01967,2.6465,3.25916,2.25296,0.00182881,0.00182881,0.00182881
40,17849.4,1.92875,1.17883,1.4795,0.06935,0.07942,0.05217,0.01801,2.79351,3.38982,2.46417,0.00181997,0.00181997,0.00181997
41,18312.8,1.9302,1.18095,1.47519,0.18559,0.10543,0.06472,0.02211,2.64618,3.31412,2.24942,0.00181093,0.00181093,0.00181093
42,18775.4,1.93479,1.17601,1.47361,0.11636,0.07652,0.0537,0.0176,2.66185,3.30361,2.29934,0.00180169,0.00180169,0.00180169
43,19228.7,1.92292,1.14994,1.47092,0.05869,0.09856,0.04168,0.01403,2.74646,3.23486,2.41749,0.00179225,0.00179225,0.00179225
44,19683.2,1.91922,1.16286,1.47507,0.25326,0.10041,0.06492,0.02135,2.71949,3.13677,2.39745,0.00178263,0.00178263,0.00178263
45,20143.6,1.93828,1.14317,1.47693,0.24024,0.09885,0.04847,0.01438,2.77757,3.48043,2.40403,0.00177281,0.00177281,0.00177281
46,20604.6,1.92874,1.15467,1.46806,0.14338,0.08752,0.05269,0.01886,2.6901,3.40979,2.38407,0.0017628,0.0017628,0.0017628
47,21068.9,1.94156,1.18095,1.47538,0.13419,0.0893,0.05099,0.01809,2.87029,3.17384,2.59264,0.00175261,0.00175261,0.00175261
48,21530.9,1.9306,1.17169,1.4824,0.14402,0.06289,0.05461,0.01819,2.75692,3.36658,2.42059,0.00174223,0.00174223,0.00174223
49,21989.6,1.93239,1.16725,1.4874,0.11963,0.08974,0.06382,0.01851,2.72304,3.24614,2.34836,0.00173168,0.00173168,0.00173168
50,22454.7,1.94055,1.15658,1.48083,0.1675,0.09046,0.04975,0.0175,2.71689,3.2225,2.4147,0.00172095,0.00172095,0.00172095
