epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,282.989,2.61309,5.297,1.85272,0.06515,0.11225,0.03259,0.00843,3.10002,19.1126,3.09673,0.0675375,0.0006625,0.0006625
2,539.697,2.50991,2.75484,1.76337,0.10114,0.13061,0.02367,0.00621,3.14541,4.38919,2.54007,0.0348708,0.00132909,0.00132909
3,797.354,2.50671,2.61345,1.81119,0.53893,0.06099,0.02322,0.00695,3.21856,5.85615,2.78114,0.00220368,0.00199535,0.00199535
4,1053.38,2.33993,2.56336,1.62125,0.59099,0.06211,0.03884,0.01165,3.47175,4.32375,2.72777,0.0019989,0.0019989,0.0019989
5,1310.35,2.37396,2.33794,1.57235,0.041,0.07363,0.02485,0.00651,3.49218,4.25512,2.62896,0.00199805,0.00199805,0.00199805
6,1564.8,2.29843,2.29419,1.62394,0.29933,0.0583,0.02606,0.00816,2.9406,3.82468,2.41025,0.00199695,0.00199695,0.00199695
7,1818.12,2.3368,2.2609,1.63181,0.01936,0.42582,0.04731,0.01141,3.08803,3.67244,2.46204,0.00199561,0.00199561,0.00199561
8,2071.59,2.31461,2.15581,1.58699,0.37337,0.06664,0.07993,0.02375,2.54829,3.27478,2.06448,0.00199402,0.00199402,0.00199402
9,2334.54,2.35463,2.15946,1.60289,0.03325,0.36982,0.05131,0.01639,3.03164,3.89391,2.34978,0.00199219,0.00199219,0.00199219
10,2587.56,2.2719,2.04256,1.5643,0.30681,0.17574,0.04086,0.01279,2.61862,6.18292,2.14007,0.00199012,0.00199012,0.00199012
11,2837.98,2.26901,2.06476,1.5933,0.15086,0.07504,0.05864,0.02088,3.0534,4.8783,2.44464,0.00198781,0.00198781,0.00198781
12,3095.29,2.30278,2.07567,1.58317,0.04136,0.09237,0.02343,0.00828,3.04205,3.87428,2.40145,0.00198526,0.00198526,0.00198526
13,3348.94,2.23899,2.1524,1.52917,0.32291,0.08512,0.05148,0.01239,3.12077,3.08551,2.56825,0.00198246,0.00198246,0.00198246
14,3613.45,2.24651,2.04035,1.52936,0.51099,0.05119,0.0824,0.0219,2.76549,2.89136,2.18946,0.00197943,0.00197943,0.00197943
15,3862.66,2.2343,2.08817,1.57065,0.3302,0.12203,0.06069,0.01911,2.7973,2.93388,2.18255,0.00197616,0.00197616,0.00197616
16,4116.34,2.15463,1.90192,1.5167,0.19036,0.13547,0.09486,0.02443,2.77954,2.95988,2.26416,0.00197265,0.00197265,0.00197265
