epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,168.959,2.4765,6.68292,1.53224,0.04134,0.11559,0.03509,0.01235,3.12443,4.61844,2.27167,0.0671163,3.29167e-05,3.29167e-05
2,304.789,2.21469,2.18655,1.38297,0.03553,0.07508,0.02032,0.00643,2.75623,3.15707,1.79685,0.0338162,6.61563e-05,6.61563e-05
3,441.784,2.12264,1.88896,1.33337,0.10577,0.10563,0.0387,0.01403,2.55125,3.05808,1.72932,0.000515968,9.93017e-05,9.93017e-05
4,577.418,2.09746,1.77192,1.30455,0.08024,0.10664,0.04368,0.01552,2.43588,2.87273,1.57798,9.95757e-05,9.95757e-05,9.95757e-05
5,712.034,2.10319,1.65879,1.289,0.13219,0.08008,0.06336,0.02158,2.49183,2.89103,1.67298,9.94343e-05,9.94343e-05,9.94343e-05
6,848.343,2.06723,1.65428,1.25781,0.15042,0.10167,0.07248,0.02597,2.34397,2.90445,1.58846,9.92929e-05,9.92929e-05,9.92929e-05
7,984.05,2.04641,1.60584,1.27207,0.10917,0.12748,0.05729,0.02063,2.53408,2.88749,1.74127,9.91514e-05,9.91514e-05,9.91514e-05
8,1118.78,2.04536,1.53653,1.27006,0.10296,0.12835,0.06193,0.02236,2.32452,2.91569,1.51953,9.901e-05,9.901e-05,9.901e-05
9,1254.94,2.03489,1.55438,1.256,0.10362,0.1007,0.05219,0.02033,2.46048,3.10789,1.71685,9.88686e-05,9.88686e-05,9.88686e-05
10,1389.77,1.99533,1.45145,1.22982,0.09909,0.1243,0.04799,0.01797,2.4932,3.11472,1.70648,9.87271e-05,9.87271e-05,9.87271e-05
11,1524.97,2.00421,1.47151,1.24848,0.15021,0.15229,0.08293,0.02474,2.50579,2.71681,1.63321,9.85857e-05,9.85857e-05,9.85857e-05
12,1660.39,2.01051,1.48164,1.25618,0.14337,0.11387,0.06476,0.02089,2.53508,2.90075,1.78687,9.84443e-05,9.84443e-05,9.84443e-05
13,1796.42,1.988,1.44735,1.23984,0.10984,0.14345,0.07342,0.0245,2.46494,2.53473,1.63657,9.83029e-05,9.83029e-05,9.83029e-05
14,1932.44,1.97996,1.42259,1.23534,0.07466,0.17126,0.05176,0.01973,2.29987,2.72591,1.59259,9.81614e-05,9.81614e-05,9.81614e-05
15,2067.6,2.00251,1.44818,1.25402,0.1807,0.17452,0.10355,0.03044,2.58985,2.49772,1.71351,9.802e-05,9.802e-05,9.802e-05
16,2202.33,1.89874,1.37492,1.21168,0.17164,0.18843,0.07,0.02237,2.47411,2.6432,1.63563,9.78786e-05,9.78786e-05,9.78786e-05
17,2338.08,1.94897,1.34241,1.21456,0.12908,0.11136,0.06095,0.02276,2.47328,3.06536,1.72286,9.77371e-05,9.77371e-05,9.77371e-05
18,2472.89,1.89844,1.33617,1.20358,0.08407,0.13378,0.04214,0.01549,2.4645,2.95568,1.69798,9.75957e-05,9.75957e-05,9.75957e-05
19,2608.44,1.93057,1.3633,1.22449,0.12955,0.13542,0.08781,0.02776,2.46932,2.64278,1.62813,9.74543e-05,9.74543e-05,9.74543e-05
20,2742.59,1.92375,1.32918,1.21826,0.08288,0.11157,0.05303,0.0197,2.42943,2.85108,1.6828,9.73129e-05,9.73129e-05,9.73129e-05
21,2878.68,1.97225,1.37833,1.22588,0.16911,0.11629,0.08588,0.03134,2.34899,2.82969,1.584,9.71714e-05,9.71714e-05,9.71714e-05
22,3013.63,1.92141,1.29367,1.20702,0.0812,0.13108,0.04814,0.01908,2.36697,2.93916,1.61381,9.703e-05,9.703e-05,9.703e-05
23,3148.79,1.9499,1.33565,1.24151,0.10399,0.11571,0.04661,0.01792,2.36114,3.00521,1.59956,9.68886e-05,9.68886e-05,9.68886e-05
24,3283.58,1.92355,1.32762,1.22753,0.05837,0.10446,0.04086,0.01514,2.47728,3.09933,1.71122,9.67471e-05,9.67471e-05,9.67471e-05
25,3418.41,1.92001,1.32198,1.21611,0.11268,0.18396,0.07053,0.02568,2.38664,2.60218,1.62254,9.66057e-05,9.66057e-05,9.66057e-05
26,3554.31,1.9268,1.33259,1.20304,0.08673,0.16164,0.04925,0.01878,2.44714,2.84412,1.68837,9.64643e-05,9.64643e-05,9.64643e-05
27,3689.14,1.91516,1.30787,1.20591,0.09558,0.13428,0.06234,0.02129,2.43506,2.72759,1.67155,9.63229e-05,9.63229e-05,9.63229e-05
28,3824.18,1.91622,1.29111,1.19867,0.1064,0.17306,0.05707,0.01679,2.522,2.83379,1.71225,9.61814e-05,9.61814e-05,9.61814e-05
29,3958.83,1.91907,1.33845,1.23391,0.11526,0.15971,0.06394,0.01778,2.56676,2.82612,1.73861,9.604e-05,9.604e-05,9.604e-05
