epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.0573,2.20427,14.5706,1.49106,0.27959,0.02351,0.01219,0.0037,2.99092,4.11018,2.61036,0.0675375,0.0006625,0.0006625
2,190.654,2.11892,3.18849,1.49671,0.09887,0.30432,0.06626,0.01948,2.78091,4.27507,2.41088,0.0348708,0.00132909,0.00132909
3,291.445,2.1689,2.74108,1.55605,0.29343,0.06251,0.0209,0.00695,2.88631,4.37945,2.43778,0.00220368,0.00199535,0.00199535
4,388.224,1.8641,2.6495,1.27965,0.27841,0.11303,0.02332,0.00814,2.84591,3.86565,2.24311,0.0019989,0.0019989,0.0019989
5,484.122,1.98368,2.51461,1.34117,0.31357,0.07521,0.0417,0.01302,2.94133,3.66304,2.27784,0.00199805,0.00199805,0.00199805
6,577.925,1.90834,2.35715,1.3274,0.13218,0.03375,0.03395,0.01046,2.90724,3.42674,2.28285,0.00199695,0.00199695,0.00199695
7,672.713,1.92042,2.19123,1.3529,0.06806,0.14018,0.03958,0.01241,2.72974,3.34594,2.07737,0.00199561,0.00199561,0.00199561
8,774.431,1.75711,1.90503,1.24577,0.07402,0.07296,0.02866,0.00896,2.82418,5.64495,2.22755,0.00199402,0.00199402,0.00199402
9,872.252,1.84363,2.17466,1.32317,0.11659,0.13231,0.03653,0.01085,2.97606,3.37965,2.2406,0.00199219,0.00199219,0.00199219
10,971.27,1.63959,1.68667,1.18307,0.34209,0.08441,0.03393,0.01187,2.96625,3.37569,2.18314,0.00199012,0.00199012,0.00199012
11,1071.42,1.82113,1.8366,1.30822,0.05812,0.08652,0.02231,0.00641,2.98125,3.3531,2.25254,0.00198781,0.00198781,0.00198781
12,1170.98,1.64103,1.70184,1.2024,0.1214,0.11063,0.03735,0.01201,2.75471,3.00465,2.26058,0.00198526,0.00198526,0.00198526
13,1269.72,1.70045,1.75497,1.22833,0.08564,0.07918,0.03509,0.01274,2.95198,4.32376,2.28358,0.00198246,0.00198246,0.00198246
14,1369.22,1.69524,1.69983,1.21345,0.08548,0.21844,0.03586,0.01177,2.71221,3.17057,2.0916,0.00197943,0.00197943,0.00197943
15,1469.14,1.72462,1.80578,1.25179,0.08136,0.10836,0.03781,0.01364,2.90843,3.42193,2.2997,0.00197616,0.00197616,0.00197616
16,1569.46,1.62964,1.58121,1.22817,0.05279,0.12621,0.02588,0.00751,2.95477,3.26251,2.37419,0.00197265,0.00197265,0.00197265
17,1669.56,1.72259,1.5424,1.27099,0.08124,0.06257,0.04297,0.01514,2.94268,3.87888,2.49751,0.0019689,0.0019689,0.0019689
18,1769.99,1.68976,1.47527,1.273,0.09259,0.22012,0.04016,0.01218,2.92432,3.03376,2.17215,0.00196491,0.00196491,0.00196491
19,1869.65,1.49911,1.3579,1.1205,0.05291,0.1641,0.03269,0.01039,2.97262,3.41452,2.34415,0.00196069,0.00196069,0.00196069
20,1969.42,1.5451,1.46381,1.16324,0.08781,0.09862,0.03589,0.0108,2.76659,3.54203,2.09313,0.00195624,0.00195624,0.00195624
21,2069.7,1.66909,1.45878,1.21215,0.07164,0.11954,0.04082,0.0127,2.78256,3.42001,2.14799,0.00195155,0.00195155,0.00195155
22,2168.75,1.44526,1.19182,1.07501,0.09374,0.10681,0.04039,0.01319,2.89531,3.80921,2.25624,0.00194662,0.00194662,0.00194662
23,2268.5,1.52813,1.29904,1.1501,0.14344,0.12936,0.05334,0.01796,2.85094,3.64471,2.16538,0.00194147,0.00194147,0.00194147
24,2368.52,1.59113,1.3309,1.19812,0.08483,0.15051,0.04841,0.01608,2.76396,3.23359,2.15126,0.00193609,0.00193609,0.00193609
25,2469.01,1.52715,1.28776,1.1789,0.09833,0.15025,0.03759,0.01211,2.85026,3.19447,2.17288,0.00193048,0.00193048,0.00193048
26,2568.98,1.5684,1.31295,1.16949,0.08829,0.07562,0.03796,0.01203,2.86724,3.28081,2.58439,0.00192464,0.00192464,0.00192464
27,2669.73,1.60021,1.22705,1.20121,0.08226,0.13373,0.04121,0.01213,2.92418,3.21871,2.44966,0.00191858,0.00191858,0.00191858
28,2770.54,1.62686,1.26758,1.21281,0.0628,0.09749,0.02608,0.00809,2.8645,3.28833,2.25633,0.00191229,0.00191229,0.00191229
29,2870.85,1.51468,1.23447,1.19683,0.06153,0.08758,0.0313,0.00969,2.89841,3.36528,2.28871,0.00190578,0.00190578,0.00190578
30,2970.26,1.36859,1.19633,1.06828,0.07224,0.09862,0.03944,0.01153,3.07816,3.0928,2.59423,0.00189905,0.00189905,0.00189905
31,3070.51,1.50206,1.18624,1.13949,0.11236,0.08734,0.04877,0.01596,2.81257,3.38695,2.27655,0.0018921,0.0018921,0.0018921
32,3169.99,1.4878,1.11825,1.20544,0.0544,0.09621,0.03686,0.01216,2.93824,3.53339,2.49467,0.00188493,0.00188493,0.00188493
33,3270.16,1.45837,1.21738,1.15978,0.07114,0.10633,0.03379,0.01191,2.88801,3.17452,2.32527,0.00187754,0.00187754,0.00187754
34,3370.08,1.42804,1.09276,1.14587,0.05895,0.11125,0.03176,0.00957,2.98832,3.57496,2.40161,0.00186995,0.00186995,0.00186995
