epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,690.0626,2.21225,13.7127,1.57539,0.52474,0.02368,0.01724,0.00721,2.56809,9.08104,2.46663,0.0675375,0.0006625,0.0006625
2,1204.291,2.13833,3.16593,1.60781,0.30304,0.04476,0.04366,0.01263,2.79797,3.90081,2.18733,0.0348708,0.00132909,0.00132909
3,2107.883,2.21902,2.80863,1.66688,0.76592,0.02698,0.02675,0.00796,2.75641,4.35318,2.24218,0.00220368,0.00199535,0.00199535
4,3200.76,2.05934,2.46914,1.30147,0.76994,0.04099,0.01466,0.00387,2.8732,5.68458,2.15289,0.0019989,0.0019989,0.0019989
5,422.7,2.10556,2.31563,1.26019,0.0909,0.14554,0.06152,0.01904,3.14052,3.45183,1.98128,0.00199805,0.00199805,0.00199805
6,5240.049,2.00044,2.15542,1.22926,0.02081,0.41444,0.03366,0.01093,2.83814,4.03238,2.14781,0.00199695,0.00199695,0.00199695
7,6250.535,2.00761,1.98573,1.24548,0.13202,0.06983,0.05309,0.01613,2.98099,3.49773,2.07907,0.00199561,0.00199561,0.00199561
8,7207.587,1.82409,1.67813,1.1585,0.23096,0.15665,0.04942,0.01709,2.69544,3.66401,1.86393,0.00199402,0.00199402,0.00199402
9,8290.34,1.92675,1.80851,1.23227,0.0833,0.06511,0.04326,0.01116,3.08153,3.40305,2.20829,0.00199219,0.00199219,0.00199219
10,928.814,1.6751,1.50882,1.05912,0.1845,0.19314,0.05526,0.01514,3.0015,4.05595,2.05241,0.00199012,0.00199012,0.00199012
11,10209.89,1.88627,1.59708,1.18042,0.16183,0.0406,0.03928,0.01102,2.85817,3.575,2.07427,0.00198781,0.00198781,0.00198781
12,1132.22,1.6661,1.52722,1.08165,0.07035,0.1468,0.03703,0.01187,2.88364,3.13836,2.05411,0.00198526,0.00198526,0.00198526
13,12320.04,1.73458,1.62735,1.06797,0.04651,0.3466,0.04289,0.01486,2.91244,3.63923,2.0756,0.00198246,0.00198246,0.00198246
14,1332.91,1.692,1.6358,1.05071,0.08032,0.12959,0.0409,0.0136,2.92933,3.15336,2.18413,0.00197943,0.00197943,0.00197943
15,1436.07,1.78707,1.51864,1.11258,0.03204,0.33248,0.03603,0.01226,2.93834,4.04313,2.30803,0.00197616,0.00197616,0.00197616
16,15307.93,1.69574,1.38909,1.09606,0.08595,0.05644,0.0352,0.01151,2.97999,3.61531,2.17616,0.00197265,0.00197265,0.00197265
17,16390.99,1.74169,1.31732,1.11055,0.06432,0.16549,0.03319,0.00918,3.03857,3.54578,2.22917,0.0019689,0.0019689,0.0019689
18,1740.41,1.70869,1.26187,1.12456,0.0433,0.22021,0.04192,0.01104,3.20414,3.86461,2.42078,0.00196491,0.00196491,0.00196491
19,18400.9,1.56488,1.20733,0.98634,0.09876,0.08611,0.04456,0.01411,2.86899,4.11149,2.10695,0.00196069,0.00196069,0.00196069
20,19402.87,1.5845,1.27859,1.06757,0.06285,0.06365,0.03125,0.0092,2.93532,inf,2.32122,0.00195624,0.00195624,0.00195624
21,2044.56,1.67426,1.23912,1.06179,0.0819,0.13536,0.04006,0.01121,2.9328,3.12777,2.2317,0.00195155,0.00195155,0.00195155
22,21404.26,1.44388,1.00612,0.94867,0.03636,0.12511,0.02586,0.00726,3.29817,3.93379,2.31322,0.00194662,0.00194662,0.00194662
23,22402.88,1.53763,1.14718,1.02464,0.08578,0.11577,0.04258,0.01202,3.08821,3.96235,2.37226,0.00194147,0.00194147,0.00194147
24,23045.86,1.60762,1.17416,1.06734,0.07812,0.08268,0.02886,0.00835,3.41206,7.60108,2.53274,0.00193609,0.00193609,0.00193609
25,2449.18,1.57772,1.14036,1.0483,0.10724,0.09386,0.03144,0.00787,3.18843,3.24985,2.24286,0.00193048,0.00193048,0.00193048
26,25409.37,1.54582,1.19433,0.98049,0.10275,0.08366,0.03935,0.00965,3.22326,3.3682,2.49811,0.00192464,0.00192464,0.00192464
27,2649.98,1.56828,1.12024,1.04343,0.04802,0.05972,0.0277,0.00931,3.20834,3.61247,2.46658,0.00191858,0.00191858,0.00191858
28,27050.43,1.6233,1.07449,1.05612,0.10923,0.12715,0.05755,0.01919,3.08532,4.63858,2.32434,0.00191229,0.00191229,0.00191229
29,2849.78,1.49939,1.11194,0.98763,0.03215,0.20398,0.02682,0.00875,3.44517,4.16715,2.6106,0.00190578,0.00190578,0.00190578
30,29409.43,1.40087,1.04257,0.95214,0.08402,0.13796,0.05501,0.01523,3.15254,3.34713,2.53373,0.00189905,0.00189905,0.00189905
31,3050.56,1.52014,1.08231,1.00991,0.08176,0.09444,0.04613,0.01289,3.30973,3.60956,2.4031,0.0018921,0.0018921,0.0018921
32,3153.29,1.55672,1.11164,1.04015,0.09327,0.13755,0.05315,0.01813,3.14881,3.80072,2.41672,0.00188493,0.00188493,0.00188493
33,32550.01,1.51131,1.0968,1.01389,0.05415,0.06564,0.02576,0.00689,3.28051,3.52655,2.54936,0.00187754,0.00187754,0.00187754
34,3358.1,1.45525,1.00411,1.00307,0.07512,0.10557,0.0353,0.01023,3.3137,3.55073,2.51083,0.00186995,0.00186995,0.00186995
35,3459.24,1.39405,0.86463,0.95041,0.0821,0.13157,0.04469,0.01356,3.10434,3.44751,2.29689,0.00186213,0.00186213,0.00186213
36,35601.02,1.39348,0.96933,0.93003,0.11348,0.14995,0.04851,0.01357,3.15863,3.59323,2.3644,0.00185411,0.00185411,0.00185411
37,3662.44,1.48138,0.91972,1.0055,0.07439,0.11404,0.04163,0.01263,3.24864,3.47633,2.47112,0.00184588,0.00184588,0.00184588
38,3765.38,1.44372,1.02554,0.98853,0.09308,0.08811,0.04649,0.01417,3.17226,4.0182,2.43505,0.00183745,0.00183745,0.00183745
39,38606.73,1.42305,0.90966,0.96901,0.04974,0.22318,0.0474,0.01604,3.1616,4.11298,2.22388,0.00182881,0.00182881,0.00182881
40,3968.19,1.4729,0.96053,0.93614,0.05911,0.09126,0.03468,0.01089,3.37305,3.61133,2.61409,0.00181997,0.00181997,0.00181997
41,4069.66,1.46745,0.98163,1.02038,0.08855,0.09219,0.04655,0.01564,3.14018,3.89155,2.4501,0.00181093,0.00181093,0.00181093
42,41701.21,1.40553,0.8924,0.97178,0.13015,0.14603,0.0702,0.02173,2.95522,3.80027,2.18703,0.00180169,0.00180169,0.00180169
43,4273.04,1.49419,0.93234,1.00816,0.08494,0.131,0.0515,0.01567,3.02337,3.56219,2.24658,0.00179225,0.00179225,0.00179225
44,4375,1.41702,0.99398,1.00055,0.08694,0.1004,0.04823,0.01516,3.18332,4.085,2.35336,0.00178263,0.00178263,0.00178263
45,44706.94,1.30399,0.88254,0.92568,0.09744,0.13835,0.04962,0.01426,3.04878,3.26213,2.29514,0.00177281,0.00177281,0.00177281
46,4578.05,1.37615,0.85726,0.94966,0.07147,0.1058,0.04231,0.01169,3.30451,3.23905,2.5991,0.0017628,0.0017628,0.0017628
47,46790.28,1.36219,0.92037,0.95294,0.07791,0.09617,0.04262,0.01275,3.38324,3.47791,2.53019,0.00175261,0.00175261,0.00175261
