epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,183.13,2.47036,3.25646,1.609,0.76731,0.01251,0.00709,0.00287,2.8724,4.27199,1.92915,0.0670899,6.58333e-06,6.58333e-06
2,365.921,2.10783,1.80243,1.33972,0.54647,0.03935,0.02879,0.00812,2.97349,3.84041,1.97486,0.0337632,1.32313e-05,1.32313e-05
3,549.062,2.01643,1.66694,1.27437,0.55253,0.05291,0.03211,0.01037,2.73087,3.49799,1.75635,0.000436527,1.98603e-05,1.98603e-05
4,732.741,1.96145,1.56671,1.2395,0.59838,0.06334,0.04296,0.0143,2.72846,3.3722,1.74354,1.99151e-05,1.99151e-05,1.99151e-05
5,920.511,1.91439,1.49296,1.21787,0.53359,0.06489,0.05509,0.01938,2.68434,3.38019,1.72409,1.98869e-05,1.98869e-05,1.98869e-05
6,1103.89,1.9054,1.44751,1.20705,0.61873,0.06427,0.05316,0.02003,2.63945,3.30573,1.67054,1.98586e-05,1.98586e-05,1.98586e-05
7,1287.33,1.8792,1.42753,1.19583,0.35493,0.08447,0.04569,0.01613,2.64434,3.30832,1.65883,1.98303e-05,1.98303e-05,1.98303e-05
8,1471.74,1.84974,1.37577,1.18016,0.42101,0.09003,0.05188,0.01725,2.68007,3.25461,1.67318,1.9802e-05,1.9802e-05,1.9802e-05
9,1655.19,1.86244,1.38269,1.17933,0.36335,0.08303,0.06061,0.0193,2.68333,3.17606,1.68187,1.97737e-05,1.97737e-05,1.97737e-05
10,1838.74,1.85174,1.35811,1.17586,0.63665,0.08141,0.05664,0.02027,2.6103,3.26483,1.64939,1.97454e-05,1.97454e-05,1.97454e-05
11,2025.43,1.82623,1.32723,1.16938,0.31156,0.07486,0.04476,0.01452,2.66227,3.35534,1.66847,1.97171e-05,1.97171e-05,1.97171e-05
12,2206.96,1.8215,1.31196,1.16752,0.36337,0.08362,0.05051,0.01746,2.64117,3.29805,1.6384,1.96889e-05,1.96889e-05,1.96889e-05
13,2389.36,1.80827,1.281,1.15752,0.35537,0.07103,0.04855,0.0172,2.61571,3.34897,1.63787,1.96606e-05,1.96606e-05,1.96606e-05
