epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,207.979,2.35424,2.93774,1.51322,0.80259,0.01489,0.01747,0.00492,3.15237,4.4122,2.11929,0.0671163,3.29167e-05,3.29167e-05
2,393.624,1.95646,1.51495,1.25911,0.58476,0.02041,0.03563,0.00924,3.08373,3.7135,1.84671,0.0338162,6.61563e-05,6.61563e-05
3,581.554,1.86515,1.35892,1.20215,0.6972,0.05072,0.04804,0.01672,2.57687,3.25944,1.63573,0.000515968,9.93017e-05,9.93017e-05
4,768.683,1.8293,1.26979,1.17913,0.57186,0.05339,0.05291,0.0168,2.64259,3.02558,1.61826,9.95757e-05,9.95757e-05,9.95757e-05
5,955.2,1.80118,1.21597,1.16608,0.81689,0.0522,0.04258,0.01332,2.67835,3.11351,1.62635,9.94343e-05,9.94343e-05,9.94343e-05
6,1142.22,1.78189,1.1851,1.15883,0.60957,0.06005,0.03746,0.01086,2.66969,3.31849,1.67422,9.92929e-05,9.92929e-05,9.92929e-05
7,1329.81,1.77072,1.1558,1.15195,0.35151,0.08685,0.03051,0.00869,2.64923,3.47586,1.61152,9.91514e-05,9.91514e-05,9.91514e-05
8,1517.49,1.75101,1.12802,1.14238,0.12183,0.0978,0.0371,0.00975,2.82791,3.49614,1.73043,9.901e-05,9.901e-05,9.901e-05
9,1701.55,1.75019,1.13587,1.14065,0.06171,0.10864,0.04589,0.01215,2.78113,3.56705,1.75756,9.88686e-05,9.88686e-05,9.88686e-05
10,1887.81,1.74694,1.12537,1.14151,0.15847,0.12198,0.05106,0.01488,2.77716,3.87001,1.70635,9.87271e-05,9.87271e-05,9.87271e-05
11,2072.36,1.7255,1.09808,1.13802,0.30957,0.12784,0.05407,0.01429,2.73054,3.63335,1.67862,9.85857e-05,9.85857e-05,9.85857e-05
12,2258.08,1.72446,1.09291,1.13731,0.17292,0.07477,0.03093,0.00896,2.70635,3.59391,1.68367,9.84443e-05,9.84443e-05,9.84443e-05
13,2443.4,1.71151,1.07092,1.12787,0.09981,0.11206,0.06223,0.01746,2.80595,3.33535,1.70126,9.83029e-05,9.83029e-05,9.83029e-05
14,2630.1,1.71689,1.07636,1.12993,0.22245,0.16202,0.0605,0.01526,2.70488,3.61023,1.65937,9.81614e-05,9.81614e-05,9.81614e-05
15,2814.26,1.71097,1.07821,1.13536,0.15699,0.14158,0.05649,0.01519,2.76553,3.25522,1.70106,9.802e-05,9.802e-05,9.802e-05
16,3001.62,1.70476,1.05365,1.12617,0.16766,0.11298,0.06107,0.01882,2.83634,3.31037,1.75593,9.78786e-05,9.78786e-05,9.78786e-05
17,3187.66,1.70248,1.06014,1.12709,0.21127,0.13889,0.04982,0.01454,2.77427,3.37716,1.7191,9.77371e-05,9.77371e-05,9.77371e-05
18,3373.94,1.693,1.04667,1.12099,0.11984,0.0836,0.02857,0.00818,2.91198,3.61348,1.86929,9.75957e-05,9.75957e-05,9.75957e-05
19,3559.64,1.689,1.04389,1.12136,0.15588,0.11048,0.04554,0.01252,2.80962,3.57937,1.78113,9.74543e-05,9.74543e-05,9.74543e-05
20,3745.4,1.69526,1.04386,1.1195,0.24761,0.16294,0.06927,0.01997,2.69786,3.34356,1.68358,9.73129e-05,9.73129e-05,9.73129e-05
21,3931.62,1.67915,1.02894,1.11745,0.39378,0.07078,0.06007,0.0182,2.74265,3.64154,1.74414,9.71714e-05,9.71714e-05,9.71714e-05
22,4117.85,1.68286,1.03114,1.1182,0.14711,0.14451,0.05295,0.01583,2.68412,3.57585,1.67839,9.703e-05,9.703e-05,9.703e-05
23,4303.06,1.67594,1.02897,1.11132,0.09926,0.12296,0.05669,0.01732,2.69564,3.31871,1.68728,9.68886e-05,9.68886e-05,9.68886e-05
24,4488.19,1.68255,1.02816,1.11519,0.09607,0.13917,0.05966,0.01945,2.72213,3.13092,1.75152,9.67471e-05,9.67471e-05,9.67471e-05
25,4673.57,1.68248,1.02834,1.12234,0.16361,0.14818,0.05804,0.01652,2.75346,3.54693,1.7106,9.66057e-05,9.66057e-05,9.66057e-05
26,4860.26,1.66431,1.01332,1.11528,0.23956,0.10687,0.05251,0.01938,2.72357,3.46822,1.73578,9.64643e-05,9.64643e-05,9.64643e-05
27,5046.51,1.67115,1.02061,1.11327,0.17862,0.15299,0.06827,0.02192,2.71478,3.39577,1.73635,9.63229e-05,9.63229e-05,9.63229e-05
28,5232,1.67289,1.02779,1.11391,0.15984,0.16399,0.06608,0.02087,2.66771,3.34399,1.65946,9.61814e-05,9.61814e-05,9.61814e-05
29,5417.21,1.66576,1.01833,1.11243,0.11292,0.16295,0.05481,0.01694,2.67503,3.64868,1.67577,9.604e-05,9.604e-05,9.604e-05
30,5601.52,1.67473,1.01671,1.11473,0.12004,0.15079,0.05175,0.01609,2.78045,3.29157,1.7834,9.58986e-05,9.58986e-05,9.58986e-05
31,5787.15,1.65479,0.99758,1.11194,0.33606,0.09638,0.06782,0.02408,2.71291,3.18434,1.8864,9.57571e-05,9.57571e-05,9.57571e-05
32,5972.1,1.65602,1.00753,1.11402,0.20589,0.15368,0.06356,0.02026,2.60692,3.55823,1.68483,9.56157e-05,9.56157e-05,9.56157e-05
