epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,344.327,7.0524,1224.17,4.15133,0,0,0,0,10.187,916.394,6.91855,0.0674125,0.000329167,0.000329167
2,668.034,3.66913,490.854,2.366,0,0,0,0,9.85644,877.35,7.65199,0.0344116,0.000661563,0.000661563
3,970.079,3.22998,445.137,2.18671,0.00014,0.10878,0.00012,3e-05,8.60288,720.826,7.29754,0.00140968,0.000993017,0.000993017
4,1286.19,3.0492,431.643,2.09729,0.00185,0.09101,0.00114,0.00037,7.63621,689.521,5.58533,0.000995757,0.000995757,0.000995757
5,1609.53,2.92661,421.551,2.03868,0.00086,0.07591,0.00049,0.00016,7.60838,653.784,5.38402,0.000994343,0.000994343,0.000994343
6,1925.47,2.87368,419.316,2.00535,0.02193,0.08948,0.01162,0.0035,7.94616,712.625,5.65839,0.000992929,0.000992929,0.000992929
7,2245.92,2.8207,411.822,1.98362,0.00062,0.05484,0.00041,0.00012,7.31823,678.459,5.31255,0.000991514,0.000991514,0.000991514
8,2580.73,2.75613,408.467,1.94716,0.0007,0.05315,0.00046,0.00013,8.19135,725.312,5.91152,0.0009901,0.0009901,0.0009901
9,2904.57,2.75786,409.16,1.94741,0.00077,0.0715,0.00055,0.00019,8.58838,763.604,6.10753,0.000988686,0.000988686,0.000988686
10,3240.76,2.73257,405.039,1.93951,0.00048,0.0441,0.00031,0.0001,9.47354,803.436,6.64023,0.000987271,0.000987271,0.000987271
11,3571.28,2.70351,400.195,1.92306,0.00071,0.06593,0.00056,0.00018,8.13731,740.604,5.97249,0.000985857,0.000985857,0.000985857
12,3890.49,2.69739,403.441,1.91295,0.00071,0.06605,0.00055,0.00017,6.88125,601.981,4.96726,0.000984443,0.000984443,0.000984443
13,4216.37,2.66956,400.969,1.9046,0.00068,0.06337,0.00047,0.00015,8.1488,707.862,5.54899,0.000983029,0.000983029,0.000983029
14,4538.74,2.69622,399.474,1.91264,0.00078,0.07177,0.00062,0.00021,8.28799,730.5,6.31422,0.000981614,0.000981614,0.000981614
15,4862.91,2.6673,397.06,1.9103,0.00055,0.04499,0.00035,0.00011,7.75824,694.007,5.61434,0.0009802,0.0009802,0.0009802
16,5175.78,2.66239,398.471,1.8998,0.00042,0.0376,0.00025,8e-05,7.27408,657.837,5.38724,0.000978786,0.000978786,0.000978786
