epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.8423,2.05735,1.96562,1.24523,0.53917,0.0343,0.08067,0.01765,2.48358,3.66933,1.77408,0.0675375,0.0006625,0.0006625
2,141.192,1.94395,1.04199,1.28663,0.15663,0.06404,0.04943,0.01357,2.4368,8.35106,1.7927,0.0348708,0.00132909,0.00132909
3,207.711,1.9386,0.984,1.31156,0.57007,0.06567,0.04006,0.01317,2.41769,3.72203,1.80932,0.00220368,0.00199535,0.00199535
4,274.994,1.92714,0.92126,1.31776,0.30731,0.08214,0.04657,0.01492,2.49142,3.47917,1.73197,0.0019989,0.0019989,0.0019989
5,381.348,1.91378,0.9007,1.31303,0.12027,0.08249,0.05215,0.01952,2.52884,3.34372,1.8592,0.00199805,0.00199805,0.00199805
6,492.69,1.9015,0.89589,1.30798,0.324,0.07173,0.05769,0.01792,2.42694,3.7407,1.7614,0.00199695,0.00199695,0.00199695
7,600.116,1.89235,0.8807,1.30417,0.32272,0.06756,0.04029,0.0145,2.61462,3.097,1.82237,0.00199561,0.00199561,0.00199561
8,705.375,1.88707,0.87662,1.30213,0.25238,0.15379,0.04725,0.01721,2.53938,3.20527,1.76682,0.00199402,0.00199402,0.00199402
9,811.898,1.87705,0.87294,1.29737,0.27131,0.11665,0.06205,0.02175,2.50416,3.03051,1.68432,0.00199219,0.00199219,0.00199219
10,921.59,1.87443,0.87043,1.29541,0.49874,0.07666,0.05969,0.02294,2.43567,3.04223,1.83751,0.00199012,0.00199012,0.00199012
11,1032.86,1.86934,0.86733,1.29499,0.60185,0.08791,0.03473,0.011,2.60322,5.05116,1.89399,0.00198781,0.00198781,0.00198781
12,1141.5,1.8599,0.86429,1.29138,0.40958,0.1738,0.096,0.0348,2.43509,2.75859,1.6442,0.00198526,0.00198526,0.00198526
13,1251.68,1.85478,0.8653,1.28888,0.3372,0.10521,0.06121,0.02147,2.35603,3.36427,1.70558,0.00198246,0.00198246,0.00198246
14,1360.64,1.85001,0.86272,1.28784,0.08614,0.09262,0.04765,0.01607,2.75524,3.4922,1.93157,0.00197943,0.00197943,0.00197943
15,1472.15,1.842,0.8645,1.28576,0.34999,0.09265,0.04304,0.01374,2.60269,3.22713,1.89743,0.00197616,0.00197616,0.00197616
16,1583.23,1.83621,0.85772,1.28362,0.11877,0.10379,0.0468,0.01741,2.5507,2.96161,1.95308,0.00197265,0.00197265,0.00197265
17,1694.33,1.83027,0.86082,1.28082,0.37024,0.11361,0.05823,0.01994,2.69411,2.87763,1.99342,0.0019689,0.0019689,0.0019689
18,1805.17,1.8244,0.85851,1.27983,0.12138,0.11467,0.05562,0.01903,2.87589,3.32386,1.92397,0.00196491,0.00196491,0.00196491
19,1916.78,1.82116,0.86077,1.28022,0.0989,0.06555,0.03177,0.0089,2.78473,3.70938,2.14489,0.00196069,0.00196069,0.00196069
20,2028.45,1.81707,0.85892,1.27788,0.11357,0.15801,0.05756,0.01834,2.51638,2.86417,1.80645,0.00195624,0.00195624,0.00195624
21,2140.15,1.80421,0.85898,1.27468,0.36369,0.09081,0.0453,0.01425,2.59984,3.12926,1.7629,0.00195155,0.00195155,0.00195155
22,2252.64,1.80024,0.85429,1.2712,0.06131,0.15472,0.04905,0.01754,2.59875,2.99395,1.86696,0.00194662,0.00194662,0.00194662
23,2365.8,1.79729,0.85517,1.27183,0.1565,0.05373,0.03404,0.01013,2.58666,3.64124,1.9044,0.00194147,0.00194147,0.00194147
24,2479.69,1.793,0.85711,1.27003,0.36175,0.13217,0.04597,0.01561,2.73097,3.15918,1.96321,0.00193609,0.00193609,0.00193609
25,2594.24,1.7856,0.85382,1.26769,0.09037,0.10838,0.03756,0.01203,2.69821,3.29794,2.14171,0.00193048,0.00193048,0.00193048
26,2706.82,1.77794,0.85665,1.26619,0.08485,0.10618,0.04761,0.0157,2.60828,2.98698,1.90292,0.00192464,0.00192464,0.00192464
27,2819.28,1.77328,0.85612,1.26405,0.0599,0.09727,0.03903,0.01338,2.62839,3.36065,1.94887,0.00191858,0.00191858,0.00191858
28,2931.21,1.76887,0.85542,1.26319,0.11484,0.09785,0.04297,0.01423,2.62167,3.04347,1.87878,0.00191229,0.00191229,0.00191229
29,3042.71,1.76335,0.85887,1.26252,0.10171,0.09475,0.04879,0.01771,2.75007,3.16098,2.20028,0.00190578,0.00190578,0.00190578
30,3155.25,1.75775,0.85867,1.25999,0.09307,0.17891,0.0523,0.018,2.5325,3.4503,1.93244,0.00189905,0.00189905,0.00189905
31,3267.18,1.74937,0.85513,1.25784,0.4135,0.07895,0.06163,0.02395,2.52456,3.2561,1.90151,0.0018921,0.0018921,0.0018921
32,3380.69,1.74544,0.85869,1.25643,0.08974,0.10359,0.04476,0.01537,2.63451,3.0463,2.04415,0.00188493,0.00188493,0.00188493
33,3492.24,1.73947,0.85967,1.25387,0.12846,0.10553,0.04451,0.01531,2.60833,3.12298,2.04064,0.00187754,0.00187754,0.00187754
34,3602.45,1.73441,0.85702,1.25278,0.0746,0.14031,0.04041,0.01421,2.54017,3.16426,1.97168,0.00186995,0.00186995,0.00186995
35,3712.38,1.72728,0.85798,1.25081,0.12056,0.1838,0.06239,0.02388,2.39761,3.04843,1.8123,0.00186213,0.00186213,0.00186213
36,3820.39,1.72302,0.86168,1.25005,0.1427,0.1274,0.0611,0.02313,2.4945,3.21506,1.80176,0.00185411,0.00185411,0.00185411
37,3927.14,1.71828,0.85976,1.24864,0.07082,0.0739,0.04507,0.01568,2.53828,3.21174,1.88955,0.00184588,0.00184588,0.00184588
38,4035.33,1.7123,0.85921,1.24612,0.12068,0.07425,0.03995,0.01487,2.61451,3.37963,2.11776,0.00183745,0.00183745,0.00183745
39,4146.07,1.70059,0.86064,1.24314,0.09938,0.12066,0.05525,0.02233,2.42747,3.07333,1.75727,0.00182881,0.00182881,0.00182881
40,4256.38,1.69897,0.85995,1.24279,0.3498,0.08101,0.05416,0.01822,2.62983,3.27804,2.16063,0.00181997,0.00181997,0.00181997
41,4365.85,1.69565,0.86005,1.24147,0.17024,0.07309,0.04411,0.01655,2.64154,3.38124,2.21613,0.00181093,0.00181093,0.00181093
42,4475.05,1.68725,0.86171,1.23981,0.07295,0.11168,0.03628,0.01407,2.71676,3.55805,2.1384,0.00180169,0.00180169,0.00180169
43,4586.44,1.68318,0.86438,1.23908,0.08873,0.10396,0.03818,0.01356,2.65802,3.60275,2.06078,0.00179225,0.00179225,0.00179225
44,4697.54,1.67778,0.86204,1.23636,0.11918,0.10382,0.04122,0.01493,2.69335,3.33934,2.20764,0.00178263,0.00178263,0.00178263
45,4809.48,1.67436,0.86065,1.2342,0.09882,0.09781,0.04258,0.01473,2.65034,3.32157,2.22954,0.00177281,0.00177281,0.00177281
46,4920.48,1.67109,0.85923,1.23407,0.11286,0.09372,0.03813,0.01333,2.79719,3.60415,2.43065,0.0017628,0.0017628,0.0017628
47,5031.58,1.66551,0.8648,1.23276,0.11583,0.11632,0.05289,0.01965,2.64834,3.3475,1.99455,0.00175261,0.00175261,0.00175261
