epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.969,2.00213,1.69677,1.32965,0.54558,0.04919,0.10269,0.0291,2.7526,3.70026,2.08578,0.0675375,0.0006625,0.0006625
2,251.366,1.93662,0.97288,1.34173,0.06583,0.07728,0.02836,0.0084,2.66954,7.08863,2.01553,0.0348708,0.00132909,0.00132909
3,370.369,1.93138,0.93183,1.3474,0.59135,0.08908,0.03158,0.01247,2.36254,7.45893,1.87324,0.00220368,0.00199535,0.00199535
4,485.348,1.9185,0.91893,1.34227,0.33307,0.09028,0.05203,0.0125,2.60564,4.42377,2.02951,0.0019989,0.0019989,0.0019989
5,599.515,1.90873,0.89426,1.33445,0.59629,0.05251,0.03938,0.01097,2.74532,3.5652,2.08802,0.00199805,0.00199805,0.00199805
6,714.769,1.90363,0.88582,1.33086,0.65278,0.0816,0.06822,0.02101,2.66715,3.23281,2.09095,0.00199695,0.00199695,0.00199695
7,830.382,1.89559,0.87324,1.3286,0.0962,0.09119,0.04433,0.0133,2.63189,3.8926,2.09288,0.00199561,0.00199561,0.00199561
8,945.354,1.88985,0.86486,1.32416,0.60319,0.07976,0.05807,0.01774,2.76866,3.59622,2.22214,0.00199402,0.00199402,0.00199402
9,1059.56,1.88085,0.86009,1.32099,0.0647,0.08067,0.04517,0.01582,2.73916,3.77505,2.13872,0.00199219,0.00199219,0.00199219
10,1174.63,1.87742,0.85007,1.32143,0.63088,0.07205,0.05434,0.01786,2.55963,3.34057,2.03472,0.00199012,0.00199012,0.00199012
11,1288.23,1.86911,0.8493,1.31719,0.55294,0.04442,0.02122,0.0069,2.93643,4.48342,2.32055,0.00198781,0.00198781,0.00198781
12,1402.63,1.86235,0.83872,1.31561,0.31528,0.08653,0.03864,0.01169,2.99178,3.48566,2.63219,0.00198526,0.00198526,0.00198526
13,1517.35,1.85029,0.8321,1.30721,0.34044,0.12058,0.05472,0.01816,2.59316,3.20724,2.17005,0.00198246,0.00198246,0.00198246
14,1631.12,1.84095,0.82871,1.30639,0.41181,0.05171,0.02558,0.00842,3.10751,3.86098,2.67878,0.00197943,0.00197943,0.00197943
15,1747.81,1.83057,0.82818,1.30285,0.55592,0.10504,0.04336,0.0144,2.80754,3.87161,2.39707,0.00197616,0.00197616,0.00197616
16,1867.25,1.81851,0.8223,1.29928,0.29105,0.09003,0.02362,0.00692,2.82463,4.32323,2.38926,0.00197265,0.00197265,0.00197265
17,1986.4,1.80212,0.81879,1.29236,0.06386,0.14079,0.04178,0.01197,2.77333,3.51269,2.2684,0.0019689,0.0019689,0.0019689
18,2101.54,1.78989,0.81074,1.288,0.09199,0.09633,0.03036,0.00912,2.98874,3.8271,2.48074,0.00196491,0.00196491,0.00196491
