epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.1549,2.02538,1.62576,1.14538,0.30406,0.05449,0.02836,0.00868,2.32905,3.769,1.53842,0.0669413,6.625e-05,6.625e-05
2,59.547,1.89671,1.02289,1.11884,0.56524,0.06607,0.03946,0.01163,2.34362,3.47289,1.50399,0.0336739,0.000132259,0.000132259
3,87.0966,1.87652,0.97153,1.11674,0.83283,0.08102,0.06079,0.02055,2.41175,3.37164,1.54068,0.000405941,0.000197607,0.000197607
4,114.798,1.85895,0.94627,1.12082,0.52469,0.09167,0.08972,0.03134,2.3514,3.27123,1.53279,0.00019703,0.00019703,0.00019703
5,142.453,1.84739,0.92484,1.12891,0.11771,0.11318,0.06698,0.02225,2.43494,3.10524,1.56614,0.00019604,0.00019604,0.00019604
6,169.86,1.84433,0.90831,1.13172,0.30756,0.13489,0.07754,0.02415,2.53071,3.0016,1.58249,0.00019505,0.00019505,0.00019505
7,197.34,1.83841,0.90024,1.13393,0.14262,0.1021,0.06411,0.02066,2.52034,2.96748,1.6137,0.00019406,0.00019406,0.00019406
8,225.05,1.83684,0.88905,1.13982,0.3775,0.11162,0.10034,0.03154,2.4562,2.93332,1.56053,0.00019307,0.00019307,0.00019307
9,252.701,1.8319,0.88593,1.14053,0.46947,0.09627,0.07731,0.02427,2.55609,3.11873,1.66578,0.00019208,0.00019208,0.00019208
10,280.204,1.82584,0.88041,1.13975,0.36422,0.10574,0.07131,0.02335,2.45057,3.12397,1.51045,0.00019109,0.00019109,0.00019109
11,307.564,1.82991,0.87381,1.1434,0.40352,0.08871,0.0859,0.02886,2.65236,3.19333,1.7029,0.0001901,0.0001901,0.0001901
12,334.889,1.8287,0.86293,1.14518,0.21359,0.08291,0.06028,0.02084,2.79024,3.262,1.84629,0.00018911,0.00018911,0.00018911
13,362.229,1.82196,0.85935,1.14451,0.24,0.11121,0.08212,0.03012,2.58184,2.94027,1.65745,0.00018812,0.00018812,0.00018812
