epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.7298,2.01533,1.56077,1.14293,0.34986,0.09118,0.07099,0.0297,2.32627,3.33285,1.46017,0.0669413,6.625e-05,6.625e-05
2,56.8386,1.91664,0.96155,1.12384,0.57351,0.08509,0.06415,0.0213,2.41251,3.38167,1.63964,0.0336739,0.000132259,0.000132259
3,82.9641,1.90903,0.89841,1.14584,0.86457,0.09207,0.09769,0.04254,2.52602,3.01855,1.65426,0.000405941,0.000197607,0.000197607
4,109.707,1.89036,0.85954,1.14022,0.64874,0.10858,0.0902,0.03582,2.49406,2.8609,1.70037,0.00019703,0.00019703,0.00019703
5,135.888,1.88252,0.84028,1.13595,0.1207,0.16762,0.11846,0.04359,2.52951,2.87519,1.61588,0.00019604,0.00019604,0.00019604
6,162.261,1.86964,0.83016,1.1307,0.35173,0.14485,0.08224,0.02868,2.53819,2.77695,1.57187,0.00019505,0.00019505,0.00019505
7,188.429,1.85403,0.81687,1.12431,0.53924,0.19993,0.19367,0.05493,2.53561,2.75039,1.61489,0.00019406,0.00019406,0.00019406
8,214.587,1.84758,0.80612,1.12332,0.38802,0.11066,0.14665,0.06212,2.41298,2.92048,1.52895,0.00019307,0.00019307,0.00019307
9,240.907,1.83591,0.80073,1.11981,0.09272,0.15781,0.08586,0.03086,2.5199,2.84377,1.63106,0.00019208,0.00019208,0.00019208
10,266.915,1.82412,0.78961,1.11623,0.12511,0.11356,0.07534,0.02893,2.46682,3.17295,1.61823,0.00019109,0.00019109,0.00019109
11,293.149,1.81336,0.78167,1.11284,0.16481,0.10323,0.0746,0.03384,2.44886,3.13673,1.6424,0.0001901,0.0001901,0.0001901
12,319.151,1.79743,0.77422,1.10792,0.06835,0.10557,0.05709,0.02166,2.5451,3.33794,1.72016,0.00018911,0.00018911,0.00018911
