epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.9714,2.01533,1.56077,1.14293,0.34986,0.09118,0.07099,0.0297,2.32627,3.33285,1.46017,0.0669413,6.625e-05,6.625e-05
2,114.957,1.9162,0.96091,1.12349,0.64278,0.08367,0.09848,0.03023,2.48661,3.29613,1.65991,0.0336733,0.000131601,0.000131601
3,171.135,1.91029,0.89819,1.1457,0.4478,0.11181,0.07259,0.02654,2.50134,3.05679,1.69122,0.000403965,0.000195632,0.000195632
4,228.167,1.88952,0.85529,1.14013,0.66931,0.10329,0.13056,0.04689,2.47997,2.83208,1.57736,0.00019406,0.00019406,0.00019406
5,283.565,1.88036,0.83738,1.13605,0.11861,0.15364,0.12024,0.04847,2.3454,2.80824,1.48648,0.00019208,0.00019208,0.00019208
6,338.101,1.8698,0.8264,1.13152,0.14963,0.21191,0.12827,0.04595,2.35512,2.82159,1.48786,0.0001901,0.0001901,0.0001901
7,395.837,1.85365,0.81716,1.12683,0.15986,0.1809,0.127,0.03962,2.45085,2.87764,1.53702,0.00018812,0.00018812,0.00018812
8,450.565,1.84888,0.80624,1.12496,0.21188,0.14546,0.12683,0.05055,2.33937,3.03545,1.46813,0.00018614,0.00018614,0.00018614
9,504.357,1.8337,0.79915,1.12042,0.15939,0.13564,0.10214,0.03321,2.57051,3.16164,1.63767,0.00018416,0.00018416,0.00018416
10,560.434,1.82177,0.78776,1.11586,0.12489,0.1721,0.09878,0.04116,2.33591,3.00016,1.50153,0.00018218,0.00018218,0.00018218
11,616.212,1.81071,0.77837,1.11228,0.18615,0.17506,0.14415,0.05908,2.40357,2.93032,1.51334,0.0001802,0.0001802,0.0001802
12,672.116,1.79432,0.77224,1.10732,0.08903,0.08408,0.07097,0.02993,2.51384,3.35404,1.66473,0.00017822,0.00017822,0.00017822
13,727.949,1.77467,0.76576,1.10136,0.14659,0.15165,0.10037,0.03894,2.50942,3.26563,1.67967,0.00017624,0.00017624,0.00017624
14,784.626,1.75413,0.75405,1.09595,0.07684,0.13045,0.06164,0.02228,2.63029,3.38849,1.76417,0.00017426,0.00017426,0.00017426
15,841.902,1.73042,0.74714,1.08935,0.17004,0.16139,0.11456,0.04334,2.53183,3.33636,1.67422,0.00017228,0.00017228,0.00017228
16,897.966,1.71166,0.7348,1.08359,0.1707,0.15824,0.10084,0.03312,2.57174,3.46515,1.66489,0.0001703,0.0001703,0.0001703
17,954.071,1.68164,0.72617,1.07555,0.17973,0.15247,0.10963,0.04409,2.42848,3.45514,1.66918,0.00016832,0.00016832,0.00016832
18,1010.38,1.6562,0.71507,1.06866,0.17695,0.13713,0.10127,0.03776,2.54258,3.74405,1.72781,0.00016634,0.00016634,0.00016634
19,1066.98,1.63249,0.70617,1.06244,0.21106,0.12965,0.1044,0.0424,2.54976,3.66104,1.75776,0.00016436,0.00016436,0.00016436
20,1123.7,1.60112,0.6926,1.05406,0.09156,0.10183,0.064,0.03001,2.63835,3.81615,1.90449,0.00016238,0.00016238,0.00016238
21,1176.74,1.56421,0.67934,1.04376,0.11535,0.15437,0.07511,0.02663,2.63342,3.80229,1.75831,0.0001604,0.0001604,0.0001604
22,1233.52,1.54136,0.66573,1.03714,0.16916,0.13124,0.07772,0.03027,2.63054,3.86068,1.79073,0.00015842,0.00015842,0.00015842
23,1291.21,1.51163,0.65504,1.02966,0.12015,0.1182,0.07734,0.03327,2.66269,3.83843,1.86538,0.00015644,0.00015644,0.00015644
24,1347.52,1.48325,0.6461,1.0228,0.20925,0.12348,0.08157,0.02696,2.77457,3.96773,1.88929,0.00015446,0.00015446,0.00015446
25,1403.85,1.45892,0.63669,1.01586,0.17023,0.11154,0.07514,0.03021,2.73216,3.81932,1.96719,0.00015248,0.00015248,0.00015248
26,1461.46,1.42838,0.62523,1.00753,0.12461,0.10812,0.06252,0.02409,2.71629,4.00066,1.97638,0.0001505,0.0001505,0.0001505
27,1519.72,1.39474,0.61388,0.99854,0.14618,0.11669,0.07167,0.02508,2.76074,3.8406,1.89352,0.00014852,0.00014852,0.00014852
28,1576.37,1.37441,0.60606,0.99237,0.16596,0.12231,0.08424,0.03682,2.6717,3.91228,1.89577,0.00014654,0.00014654,0.00014654
29,1632.79,1.34648,0.59785,0.98577,0.04779,0.24399,0.06164,0.02469,2.65324,3.93785,1.86845,0.00014456,0.00014456,0.00014456
30,1691.25,1.32005,0.58922,0.97851,0.07837,0.11815,0.05285,0.02049,2.67523,3.92453,1.88097,0.00014258,0.00014258,0.00014258
31,1749.25,1.29044,0.57987,0.97138,0.11573,0.115,0.06509,0.02323,2.73759,4.10381,1.88194,0.0001406,0.0001406,0.0001406
32,1805.68,1.27151,0.5753,0.96598,0.15233,0.1232,0.07359,0.02423,2.77145,4.01999,1.91932,0.00013862,0.00013862,0.00013862
33,1861.72,1.25144,0.56532,0.96037,0.17962,0.12546,0.08176,0.02696,2.78858,3.89282,1.91271,0.00013664,0.00013664,0.00013664
34,1919.4,1.2225,0.55656,0.95377,0.14366,0.12498,0.07216,0.02563,2.77817,3.90541,1.97245,0.00013466,0.00013466,0.00013466
35,1976.43,1.20807,0.55305,0.9497,0.14087,0.11263,0.0659,0.02094,2.83435,4.10831,1.96068,0.00013268,0.00013268,0.00013268
