epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.7805,2.03515,2.7157,1.13053,0.57865,0.07097,0.04823,0.01753,2.32808,3.20921,1.47006,0.0033125,0.0033125,0.0033125
2,118.797,1.92651,1.60878,1.14934,0.56501,0.06808,0.04637,0.0154,2.21047,3.50095,1.4964,0.00661294,0.00661294,0.00661294
3,174.425,1.93524,1.18944,1.18296,0.81493,0.08366,0.06309,0.01949,2.36113,4.9491,1.6105,0.00988037,0.00988037,0.00988037
4,228.876,1.92932,0.97176,1.20118,0.81353,0.06841,0.06295,0.01923,2.7197,4.56129,1.85886,0.0098515,0.0098515,0.0098515
5,283.371,1.91558,0.90998,1.19503,0.58461,0.10757,0.07174,0.02084,2.64356,3.00992,1.8502,0.009802,0.009802,0.009802
6,337.989,1.90636,0.87931,1.19789,0.62756,0.08188,0.07087,0.02313,2.65266,2.92918,1.81831,0.0097525,0.0097525,0.0097525
7,392.748,1.89642,0.85907,1.19955,0.45893,0.20513,0.12063,0.03629,2.62833,2.87652,1.70121,0.009703,0.009703,0.009703
8,447.62,1.89025,0.85053,1.1961,0.63105,0.10251,0.10698,0.03834,2.44769,2.3715,1.61538,0.0096535,0.0096535,0.0096535
9,502.543,1.88487,0.83368,1.19334,0.39672,0.19548,0.11722,0.03554,2.66738,2.37364,1.81515,0.009604,0.009604,0.009604
10,555.348,1.87394,0.83586,1.18908,0.13309,0.18736,0.13473,0.05405,2.33729,2.34997,1.53187,0.0095545,0.0095545,0.0095545
11,610.555,1.86777,0.82298,1.18358,0.54581,0.1048,0.06356,0.02001,2.82762,2.82238,1.91047,0.009505,0.009505,0.009505
12,665.863,1.85759,0.82208,1.18032,0.09404,0.17949,0.07836,0.02329,2.78446,2.42383,1.91427,0.0094555,0.0094555,0.0094555
13,721.114,1.85062,0.81418,1.17963,0.42196,0.1899,0.10723,0.03456,2.7018,2.6705,1.81152,0.009406,0.009406,0.009406
14,775.807,1.84205,0.80487,1.17485,0.60644,0.08704,0.08207,0.02718,2.86813,2.5926,1.98248,0.0093565,0.0093565,0.0093565
15,831.152,1.8291,0.80376,1.17084,0.15421,0.15288,0.09536,0.03121,2.73867,2.86558,1.84287,0.009307,0.009307,0.009307
16,886.483,1.82586,0.79251,1.16843,0.31884,0.17665,0.14601,0.05427,2.60668,2.4657,1.75626,0.0092575,0.0092575,0.0092575
17,941.986,1.81384,0.79091,1.1642,0.4319,0.10762,0.07137,0.02269,2.91693,2.91297,2.0003,0.009208,0.009208,0.009208
18,995.12,1.7989,0.7839,1.15807,0.11488,0.11766,0.05767,0.01895,2.86003,2.9277,1.94262,0.0091585,0.0091585,0.0091585
19,1050.39,1.78428,0.78798,1.15369,0.36824,0.13663,0.08859,0.03249,2.59012,2.76985,1.76038,0.009109,0.009109,0.009109
20,1105.35,1.77532,0.77726,1.15131,0.42229,0.08413,0.05599,0.01801,2.91149,3.14752,1.95522,0.0090595,0.0090595,0.0090595
21,1160.85,1.76119,0.77191,1.14592,0.36002,0.12234,0.06003,0.01984,2.734,2.78431,1.83429,0.00901,0.00901,0.00901
22,1216.29,1.74548,0.76582,1.14117,0.20826,0.09878,0.07095,0.02491,2.77032,2.81286,1.83309,0.0089605,0.0089605,0.0089605
23,1271.62,1.73038,0.76384,1.13511,0.41105,0.10131,0.06848,0.02658,2.85056,3.16559,2.00946,0.008911,0.008911,0.008911
24,1326.82,1.71307,0.75695,1.12966,0.39955,0.09081,0.0643,0.02463,2.81031,3.39788,1.90752,0.0088615,0.0088615,0.0088615
25,1382.15,1.69623,0.7539,1.12475,0.37846,0.11454,0.07714,0.02754,2.74006,2.88602,1.87929,0.008812,0.008812,0.008812
26,1437.39,1.67642,0.74669,1.1184,0.35118,0.08036,0.04797,0.01573,2.93014,3.50775,2.13706,0.0087625,0.0087625,0.0087625
27,1492.74,1.66025,0.74414,1.11229,0.12855,0.111,0.06923,0.02819,2.80014,3.27027,1.96108,0.008713,0.008713,0.008713
28,1547.7,1.63697,0.73569,1.10555,0.11224,0.1236,0.07353,0.02645,2.79287,3.21606,1.9271,0.0086635,0.0086635,0.0086635
29,1603.22,1.6182,0.72862,1.09871,0.08221,0.12191,0.05204,0.01761,2.85031,3.54439,2.01964,0.008614,0.008614,0.008614
30,1658.6,1.59773,0.72546,1.09196,0.12234,0.11566,0.0597,0.01766,2.87565,3.64999,1.97285,0.0085645,0.0085645,0.0085645
31,1713.95,1.57612,0.71886,1.08502,0.16122,0.10783,0.0768,0.02595,2.81908,3.46935,1.96676,0.008515,0.008515,0.008515
32,1768.11,1.55684,0.71538,1.07843,0.0936,0.09481,0.05554,0.0199,2.80616,3.50587,1.979,0.0084655,0.0084655,0.0084655
33,1823.54,1.53757,0.70874,1.07242,0.15146,0.11968,0.06257,0.0209,2.78768,3.46899,1.87085,0.008416,0.008416,0.008416
34,1879.03,1.51401,0.70289,1.06522,0.1104,0.12187,0.06456,0.02188,2.78632,3.14238,1.93954,0.0083665,0.0083665,0.0083665
35,1934.1,1.4946,0.69865,1.0584,0.105,0.11221,0.05192,0.0169,2.78617,3.29936,1.88783,0.008317,0.008317,0.008317
36,1989.52,1.47395,0.69146,1.05198,0.39695,0.07933,0.06963,0.02451,2.72021,3.50698,1.88502,0.0082675,0.0082675,0.0082675
37,2044.82,1.45215,0.68312,1.04499,0.10851,0.11636,0.06713,0.02218,2.77927,3.44279,1.9317,0.008218,0.008218,0.008218
38,2100.26,1.43503,0.68138,1.03963,0.13176,0.09379,0.05945,0.02149,2.77167,3.42624,1.91562,0.0081685,0.0081685,0.0081685
39,2155.6,1.41502,0.67294,1.0326,0.12008,0.11894,0.07039,0.02487,2.77768,3.3629,1.91451,0.008119,0.008119,0.008119
40,2210.85,1.3995,0.66993,1.02718,0.1186,0.0836,0.06203,0.02078,2.89475,3.38821,1.99671,0.0080695,0.0080695,0.0080695
41,2266.01,1.38132,0.66468,1.02127,0.11364,0.10225,0.06425,0.02749,2.74543,3.67991,1.92367,0.00802,0.00802,0.00802
42,2321.42,1.3647,0.65779,1.01634,0.11033,0.08404,0.04538,0.01621,2.81858,3.84022,1.97525,0.0079705,0.0079705,0.0079705
43,2376.93,1.34985,0.65426,1.01194,0.116,0.0815,0.05551,0.01941,2.82257,3.5873,1.97403,0.007921,0.007921,0.007921
44,2432.08,1.33097,0.6493,1.00605,0.08358,0.10404,0.05961,0.02102,2.85827,3.68504,1.93782,0.0078715,0.0078715,0.0078715
45,2483.87,1.31898,0.64468,1.00106,0.09988,0.09632,0.06438,0.02521,2.75896,3.55322,1.91999,0.007822,0.007822,0.007822
46,2539.13,1.30197,0.64174,0.99663,0.07791,0.08381,0.04143,0.01442,2.85845,3.67497,1.97203,0.0077725,0.0077725,0.0077725
47,2594.44,1.29113,0.63525,0.99306,0.0948,0.09276,0.04467,0.01598,2.78071,3.88024,1.94037,0.007723,0.007723,0.007723
