epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.4034,2.06053,1.74266,1.13607,0.57775,0.03186,0.043,0.01831,2.26122,3.93433,1.3945,0.0675375,0.0006625,0.0006625
2,48.9568,1.94842,0.99858,1.13908,0.31509,0.08089,0.03523,0.01131,2.51379,3.20157,1.67793,0.0348708,0.00132909,0.00132909
3,71.3398,1.92636,0.9392,1.14667,0.0525,0.11112,0.03659,0.01216,2.57104,3.6533,1.80077,0.00220368,0.00199535,0.00199535
4,94.205,1.91033,0.91267,1.14079,0.33287,0.10525,0.05144,0.02026,2.53098,3.13074,1.70138,0.0019989,0.0019989,0.0019989
5,116.894,1.89776,0.89363,1.13647,0.11302,0.08896,0.03468,0.01343,2.47607,3.9062,1.74672,0.00199805,0.00199805,0.00199805
6,139.889,1.89207,0.89104,1.13539,0.58939,0.06951,0.04262,0.01453,2.4259,6.60343,1.72927,0.00199695,0.00199695,0.00199695
7,162.708,1.88,0.87784,1.13046,0.34058,0.08896,0.04488,0.01385,2.52098,3.31233,1.78151,0.00199561,0.00199561,0.00199561
8,185.203,1.87897,0.87947,1.13152,0.08521,0.10535,0.04797,0.0163,2.5636,2.81198,1.86172,0.00199402,0.00199402,0.00199402
9,207.766,1.87384,0.86694,1.13778,0.56132,0.0759,0.05063,0.01832,2.48542,2.88941,1.81582,0.00199219,0.00199219,0.00199219
10,230.148,1.87382,0.85065,1.14256,0.63718,0.09068,0.0664,0.02339,2.40553,3.149,1.59209,0.00199012,0.00199012,0.00199012
11,252.511,1.86798,0.85046,1.14065,0.59871,0.09339,0.06277,0.02402,2.39128,3.24366,1.6653,0.00198781,0.00198781,0.00198781
12,275.06,1.85973,0.8478,1.13683,0.47024,0.10697,0.04269,0.01464,2.54896,2.86647,1.84161,0.00198526,0.00198526,0.00198526
13,297.646,1.85753,0.84176,1.13641,0.35282,0.09168,0.05749,0.02122,2.40855,3.09803,1.66891,0.00198246,0.00198246,0.00198246
14,319.891,1.85085,0.8391,1.13588,0.41402,0.07813,0.06057,0.02708,2.35738,3.41394,1.55364,0.00197943,0.00197943,0.00197943
15,342.685,1.84619,0.8458,1.13477,0.56114,0.10406,0.04773,0.01772,2.47757,3.69231,1.88149,0.00197616,0.00197616,0.00197616
16,365.214,1.84538,0.83891,1.13378,0.10985,0.1007,0.04514,0.01549,2.40263,2.9767,1.67475,0.00197265,0.00197265,0.00197265
17,387.643,1.83834,0.8408,1.13063,0.35254,0.09006,0.06098,0.02248,2.54102,2.69741,1.88963,0.0019689,0.0019689,0.0019689
18,410.154,1.83212,0.83949,1.1302,0.14578,0.06573,0.07382,0.03058,2.54271,2.94108,1.72503,0.00196491,0.00196491,0.00196491
19,432.671,1.83113,0.84161,1.12975,0.10632,0.12352,0.05325,0.0212,2.5295,2.74661,1.84961,0.00196069,0.00196069,0.00196069
20,476.698,1.82859,0.83731,1.12952,0.20596,0.08364,0.06869,0.03083,2.45039,3.18542,1.78194,0.00195624,0.00195624,0.00195624
21,530.111,1.82089,0.83587,1.12822,0.0967,0.09112,0.038,0.01285,2.62839,3.39624,2.04577,0.00195155,0.00195155,0.00195155
22,579.212,1.81789,0.83867,1.12648,0.12978,0.09462,0.06724,0.02523,2.52277,3.01922,1.69034,0.00194662,0.00194662,0.00194662
23,637.005,1.81528,0.83386,1.12568,0.39001,0.08385,0.05705,0.02067,2.5319,3.14226,1.76266,0.00194147,0.00194147,0.00194147
24,694.981,1.81211,0.83941,1.12563,0.2664,0.09838,0.04083,0.01441,2.53575,3.51555,1.93287,0.00193609,0.00193609,0.00193609
25,758.189,1.80614,0.8352,1.1242,0.10956,0.11965,0.04684,0.01382,2.74721,3.03595,1.96172,0.00193048,0.00193048,0.00193048
26,856.136,1.79965,0.83554,1.123,0.1585,0.08815,0.04907,0.01617,2.56609,3.20135,1.91008,0.00192464,0.00192464,0.00192464
27,956.081,1.79595,0.83811,1.12134,0.06049,0.09441,0.03965,0.01405,2.76044,3.27036,1.88834,0.00191858,0.00191858,0.00191858
28,1059.6,1.79381,0.8355,1.12135,0.40408,0.08979,0.06398,0.02546,2.47274,3.12627,1.76395,0.00191229,0.00191229,0.00191229
29,1152.5,1.78822,0.83648,1.12,0.06861,0.09562,0.04511,0.01613,2.68484,3.00748,1.90764,0.00190578,0.00190578,0.00190578
30,1247.49,1.78409,0.83898,1.11809,0.3995,0.08516,0.06689,0.03021,2.56185,3.37167,1.90117,0.00189905,0.00189905,0.00189905
31,1345.39,1.77964,0.83775,1.11775,0.40402,0.07765,0.05912,0.02065,2.54436,3.38431,1.78137,0.0018921,0.0018921,0.0018921
32,1448.4,1.7768,0.83902,1.11721,0.3309,0.08634,0.05669,0.02259,2.64038,3.05576,1.96711,0.00188493,0.00188493,0.00188493
33,1555.11,1.77067,0.8358,1.11484,0.31958,0.09158,0.04442,0.01531,2.64648,3.14374,2.02598,0.00187754,0.00187754,0.00187754
34,1662.25,1.76905,0.8357,1.114,0.06878,0.08886,0.03501,0.01226,2.6943,3.37852,1.95491,0.00186995,0.00186995,0.00186995
35,1770.06,1.76152,0.83675,1.11277,0.19885,0.08235,0.05726,0.0221,2.59934,2.88815,1.99681,0.00186213,0.00186213,0.00186213
36,1878.02,1.75683,0.83959,1.11194,0.18509,0.09201,0.05504,0.01988,2.55179,3.30318,1.77581,0.00185411,0.00185411,0.00185411
37,1983.67,1.75616,0.84097,1.11227,0.33832,0.08485,0.07649,0.0337,2.57371,2.9641,1.89443,0.00184588,0.00184588,0.00184588
38,2086.06,1.75092,0.84018,1.11072,0.34647,0.09864,0.06027,0.02445,2.68807,3.05508,2.01496,0.00183745,0.00183745,0.00183745
39,2184.16,1.74532,0.84013,1.10984,0.39061,0.07714,0.05908,0.02192,2.64476,3.1616,1.99391,0.00182881,0.00182881,0.00182881
40,2280.25,1.74273,0.8399,1.10849,0.08615,0.08581,0.05626,0.02136,2.66138,3.24414,1.88785,0.00181997,0.00181997,0.00181997
41,2374,1.74135,0.83848,1.10867,0.10192,0.08238,0.06409,0.02555,2.7005,3.27699,1.92762,0.00181093,0.00181093,0.00181093
42,2474.14,1.73699,0.84176,1.10714,0.27666,0.07294,0.05291,0.01842,2.68767,3.1256,1.98186,0.00180169,0.00180169,0.00180169
43,2576.91,1.73434,0.84147,1.10671,0.18895,0.09298,0.04606,0.0152,2.72026,3.26822,2.00195,0.00179225,0.00179225,0.00179225
44,2682.78,1.72965,0.84063,1.10534,0.07779,0.12429,0.05026,0.01742,2.65681,3.23155,1.97175,0.00178263,0.00178263,0.00178263
45,2787.64,1.72467,0.8429,1.10341,0.08003,0.1386,0.06241,0.02237,2.69821,3.20545,1.97654,0.00177281,0.00177281,0.00177281
46,2886.94,1.72477,0.84319,1.10458,0.07524,0.0796,0.06477,0.02551,2.69839,3.05483,2.02411,0.0017628,0.0017628,0.0017628
47,2985.34,1.72172,0.8427,1.10369,0.35534,0.08774,0.06535,0.02361,2.6655,3.34688,1.93139,0.00175261,0.00175261,0.00175261
48,3082.08,1.71433,0.84251,1.10228,0.08767,0.0977,0.05991,0.02012,2.60347,3.45739,1.74658,0.00174223,0.00174223,0.00174223
49,3177.64,1.71193,0.84199,1.10155,0.07645,0.07467,0.04603,0.01517,2.69202,3.36831,2.02383,0.00173168,0.00173168,0.00173168
50,3278.02,1.70886,0.83987,1.10126,0.38714,0.0792,0.05211,0.01988,2.70471,3.16704,2.11107,0.00172095,0.00172095,0.00172095
51,3379.39,1.70377,0.84368,1.0999,0.07983,0.08058,0.06269,0.02341,2.66501,3.16482,1.99982,0.00171004,0.00171004,0.00171004
52,3481.43,1.70098,0.84307,1.09869,0.06989,0.06823,0.04736,0.01698,2.65513,3.208,2.02912,0.00169895,0.00169895,0.00169895
53,3580.58,1.69752,0.83974,1.09781,0.19155,0.06928,0.045,0.01573,2.69276,3.27844,2.04709,0.0016877,0.0016877,0.0016877
54,3677.17,1.69529,0.84268,1.09807,0.33194,0.07552,0.04894,0.01876,2.64423,3.15419,2.00806,0.00167628,0.00167628,0.00167628
55,3773.27,1.68791,0.84446,1.09577,0.07474,0.07293,0.0488,0.01823,2.64053,3.28123,1.96234,0.0016647,0.0016647,0.0016647
56,3874.97,1.69243,0.84393,1.09692,0.34543,0.08402,0.06587,0.02831,2.57786,3.26827,1.87783,0.00165295,0.00165295,0.00165295
57,3978.18,1.68538,0.843,1.09499,0.36546,0.08199,0.07419,0.0292,2.58879,3.25634,1.84928,0.00164105,0.00164105,0.00164105
58,4080.84,1.68223,0.84261,1.09432,0.08625,0.07154,0.05624,0.02073,2.62946,3.37625,1.89606,0.00162899,0.00162899,0.00162899
59,4183.64,1.67796,0.84392,1.09437,0.11789,0.07929,0.0602,0.02211,2.58401,3.27445,1.89074,0.00161678,0.00161678,0.00161678
60,4283.76,1.67978,0.84504,1.09486,0.18565,0.08409,0.06809,0.02653,2.59376,3.119,1.93988,0.00160442,0.00160442,0.00160442
