epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.2743,2.02319,2.04729,1.20676,0.67428,0.37686,0.39183,0.16457,2.2059,2.04207,1.32918,0.0033125,0.0033125,0.0033125
2,246.393,1.93403,1.01028,1.19963,0.63553,0.24344,0.29848,0.12445,2.23445,2.79802,1.36167,0.00661294,0.00661294,0.00661294
3,411.828,1.94097,0.94618,1.23389,0.46351,0.15426,0.11452,0.04162,2.31443,3.05685,1.45987,0.00988037,0.00988037,0.00988037
4,577.242,1.92833,0.90715,1.22775,0.85958,0.17229,0.17053,0.05958,2.28211,2.12955,1.42176,0.0098515,0.0098515,0.0098515
5,742.383,1.90867,0.87766,1.2152,0.86228,0.16878,0.20967,0.07647,2.28408,2.25281,1.40748,0.009802,0.009802,0.009802
6,907.704,1.89494,0.85879,1.2072,0.83749,0.15874,0.17638,0.06137,2.41249,1.87857,1.41798,0.0097525,0.0097525,0.0097525
7,1073.09,1.87927,0.84683,1.20018,0.86975,0.1487,0.17205,0.06059,2.447,1.87431,1.47651,0.009703,0.009703,0.009703
8,1238.47,1.86679,0.83453,1.19421,0.88066,0.15499,0.26707,0.10732,2.32053,1.77096,1.41035,0.0096535,0.0096535,0.0096535
9,1403.97,1.85251,0.81954,1.18736,0.60035,0.21462,0.27201,0.10838,2.31538,2.01669,1.40863,0.009604,0.009604,0.009604
10,1569.47,1.8342,0.81086,1.18145,0.88145,0.15499,0.19063,0.06847,2.38476,2.33511,1.44425,0.0095545,0.0095545,0.0095545
11,1734.9,1.81334,0.80195,1.17273,0.63314,0.19103,0.19246,0.0698,2.37315,1.95629,1.43395,0.009505,0.009505,0.009505
12,1900.39,1.78901,0.78728,1.16266,0.58167,0.16228,0.15587,0.05529,2.42308,1.98378,1.47406,0.0094555,0.0094555,0.0094555
13,2066.09,1.75662,0.77766,1.15298,0.59933,0.18613,0.16917,0.05901,2.43127,2.12119,1.49217,0.009406,0.009406,0.009406
14,2231.65,1.7264,0.76017,1.14182,0.55641,0.1677,0.15864,0.05863,2.49591,2.32969,1.52429,0.0093565,0.0093565,0.0093565
15,2397.08,1.6825,0.75213,1.12687,0.50229,0.13878,0.14074,0.04792,2.45643,2.46848,1.50423,0.009307,0.009307,0.009307
16,2562.6,1.63418,0.73605,1.11229,0.58718,0.14962,0.13105,0.04906,2.4299,2.69687,1.46996,0.0092575,0.0092575,0.0092575
17,2727.93,1.57468,0.71879,1.09288,0.50305,0.15702,0.13047,0.04353,2.46673,2.4689,1.50868,0.009208,0.009208,0.009208
18,2893.09,1.51123,0.69529,1.07241,0.56482,0.14062,0.12227,0.04192,2.49995,2.63837,1.58136,0.0091585,0.0091585,0.0091585
19,3058.34,1.4483,0.67675,1.05196,0.26482,0.16186,0.15628,0.05715,2.48946,2.16313,1.56692,0.009109,0.009109,0.009109
20,3223.79,1.38596,0.65522,1.03182,0.17305,0.14783,0.1215,0.04119,2.48161,2.42924,1.57896,0.0090595,0.0090595,0.0090595
21,3389.12,1.32805,0.63554,1.01382,0.57436,0.15596,0.12867,0.04644,2.49095,2.25688,1.56329,0.00901,0.00901,0.00901
22,3554.5,1.26097,0.61645,0.99288,0.62257,0.15935,0.14955,0.05552,2.46827,2.37196,1.58893,0.0089605,0.0089605,0.0089605
23,3719.84,1.20882,0.59621,0.97659,0.1794,0.15097,0.11127,0.0376,2.49521,3.00198,1.65396,0.008911,0.008911,0.008911
24,3885.17,1.15359,0.5765,0.95968,0.64721,0.16259,0.1536,0.05505,2.46787,2.18293,1.637,0.0088615,0.0088615,0.0088615
25,4050.92,1.10843,0.56245,0.94762,0.42724,0.15768,0.12451,0.04462,2.48978,2.39202,1.63851,0.008812,0.008812,0.008812
26,4216.41,1.06365,0.54421,0.9343,0.63192,0.12686,0.13686,0.05033,2.45508,2.41684,1.6261,0.0087625,0.0087625,0.0087625
27,4381.8,1.02862,0.52922,0.92383,0.71832,0.1398,0.13881,0.05417,2.4843,2.32174,1.68691,0.008713,0.008713,0.008713
28,4547.35,0.98702,0.51389,0.9128,0.18436,0.13692,0.11772,0.04075,2.52217,2.95157,1.70742,0.0086635,0.0086635,0.0086635
29,4712.58,0.9527,0.50179,0.90425,0.16319,0.14735,0.12014,0.03844,2.48015,2.51854,1.71675,0.008614,0.008614,0.008614
30,4878.17,0.92012,0.48908,0.89572,0.51054,0.13043,0.11732,0.03667,2.50708,2.40826,1.74026,0.0085645,0.0085645,0.0085645
31,5043.97,0.88838,0.4749,0.88728,0.17326,0.139,0.12297,0.04121,2.46116,2.41049,1.69315,0.008515,0.008515,0.008515
32,5209.45,0.86559,0.46675,0.88195,0.186,0.13466,0.12616,0.04075,2.46799,2.36171,1.69447,0.0084655,0.0084655,0.0084655
33,5375.03,0.83661,0.45439,0.87534,0.24682,0.14783,0.14021,0.047,2.4979,2.23816,1.75207,0.008416,0.008416,0.008416
34,5540.39,0.81371,0.44378,0.86954,0.18451,0.13549,0.11777,0.03831,2.49863,2.48957,1.76856,0.0083665,0.0083665,0.0083665
35,5705.98,0.78711,0.43332,0.86393,0.63947,0.14778,0.14526,0.0531,2.47346,2.28766,1.74316,0.008317,0.008317,0.008317
