epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.6953,2.03076,2.72391,1.12838,0.59526,0.06595,0.05121,0.01704,2.30116,3.23345,1.44113,0.0033125,0.0033125,0.0033125
2,76.0664,1.92744,1.60944,1.15024,0.57912,0.08579,0.06277,0.01723,2.48227,4.28389,1.62602,0.00661294,0.00661294,0.00661294
3,103.405,1.93524,1.18459,1.20086,0.55174,0.07328,0.05219,0.02094,2.33164,10.0302,1.55053,0.00988037,0.00988037,0.00988037
4,129.731,1.93221,0.97354,1.20588,0.59468,0.12748,0.05511,0.01522,2.55157,4.5807,1.73659,0.0098515,0.0098515,0.0098515
5,156.007,1.91377,0.91494,1.19645,0.6024,0.09264,0.05797,0.0189,2.44772,3.76097,1.65304,0.009802,0.009802,0.009802
6,181.893,1.9069,0.8841,1.20069,0.58963,0.09396,0.0653,0.02296,2.46224,2.54183,1.6303,0.0097525,0.0097525,0.0097525
7,207.621,1.89742,0.8574,1.20141,0.14489,0.14911,0.08814,0.02586,2.39166,2.72475,1.58647,0.009703,0.009703,0.009703
8,233.444,1.88959,0.85305,1.1978,0.33562,0.17001,0.14847,0.04687,2.35401,2.42018,1.58113,0.0096535,0.0096535,0.0096535
9,259.388,1.88138,0.83733,1.19248,0.15309,0.21333,0.10836,0.03594,2.67411,2.43825,1.82925,0.009604,0.009604,0.009604
10,285.101,1.87355,0.83347,1.18943,0.52068,0.21969,0.15209,0.04706,2.39166,2.27697,1.50597,0.0095545,0.0095545,0.0095545
11,310.893,1.86449,0.82295,1.18624,0.36974,0.07693,0.0871,0.02618,2.56471,2.82288,1.6392,0.009505,0.009505,0.009505
12,336.61,1.85621,0.81648,1.18091,0.16993,0.17182,0.12949,0.03172,2.57396,2.58732,1.6612,0.0094555,0.0094555,0.0094555
13,362.308,1.84508,0.81489,1.17833,0.4684,0.19889,0.14756,0.04848,2.51263,2.41884,1.62091,0.009406,0.009406,0.009406
14,387.863,1.83704,0.80159,1.17466,0.26411,0.16909,0.09285,0.02916,2.76016,2.6137,1.78018,0.0093565,0.0093565,0.0093565
15,413.601,1.82309,0.80608,1.17067,0.16009,0.17248,0.08894,0.03253,2.46214,2.71802,1.68141,0.009307,0.009307,0.009307
16,439.348,1.81611,0.79561,1.16723,0.45938,0.17425,0.09906,0.03391,2.50951,2.62774,1.70076,0.0092575,0.0092575,0.0092575
17,465.131,1.80642,0.78872,1.16321,0.46623,0.16436,0.11931,0.03832,2.51147,2.44392,1.63867,0.009208,0.009208,0.009208
18,490.888,1.78945,0.78199,1.15672,0.1292,0.1411,0.0949,0.03186,2.61514,2.63735,1.75853,0.0091585,0.0091585,0.0091585
19,516.406,1.77664,0.78166,1.15249,0.1457,0.15317,0.09842,0.04181,2.52568,2.66348,1.69156,0.009109,0.009109,0.009109
20,542.108,1.76441,0.77728,1.14786,0.401,0.11541,0.09028,0.03644,2.71843,2.99428,1.84457,0.0090595,0.0090595,0.0090595
21,567.811,1.74919,0.7676,1.14336,0.07405,0.1332,0.05167,0.01898,2.57876,3.09155,1.73112,0.00901,0.00901,0.00901
22,593.278,1.72892,0.76207,1.13616,0.21277,0.17423,0.1005,0.03259,2.63626,2.73726,1.75798,0.0089605,0.0089605,0.0089605
23,618.737,1.71104,0.7586,1.12996,0.14236,0.16625,0.08158,0.03126,2.54841,2.67681,1.69838,0.008911,0.008911,0.008911
24,644.275,1.6938,0.755,1.12478,0.12813,0.10301,0.06104,0.01955,2.76377,3.19897,1.87861,0.0088615,0.0088615,0.0088615
25,669.753,1.67424,0.7445,1.1178,0.07923,0.12371,0.0501,0.01692,2.63287,3.15699,1.78093,0.008812,0.008812,0.008812
26,695.346,1.64989,0.73961,1.11105,0.11267,0.13911,0.06058,0.0214,2.66785,3.05726,1.82259,0.0087625,0.0087625,0.0087625
27,720.891,1.62381,0.73282,1.10256,0.13364,0.13429,0.07781,0.02947,2.61047,2.81798,1.74155,0.008713,0.008713,0.008713
28,746.416,1.60211,0.72625,1.09641,0.16884,0.14883,0.08607,0.03309,2.65088,2.82652,1.7808,0.0086635,0.0086635,0.0086635
29,771.936,1.58165,0.71782,1.08826,0.11658,0.12705,0.06372,0.02671,2.59428,2.94659,1.77473,0.008614,0.008614,0.008614
30,797.447,1.5552,0.71539,1.0798,0.15709,0.13409,0.08477,0.03412,2.66606,2.88154,1.78618,0.0085645,0.0085645,0.0085645
31,822.865,1.52987,0.70562,1.07154,0.11641,0.14202,0.07428,0.03278,2.77655,3.17539,1.87132,0.008515,0.008515,0.008515
32,848.322,1.50462,0.70157,1.06451,0.10227,0.14852,0.05511,0.02075,2.60323,3.19209,1.78597,0.0084655,0.0084655,0.0084655
33,873.774,1.48181,0.69018,1.05628,0.13585,0.12382,0.06811,0.02687,2.72438,3.1972,1.88211,0.008416,0.008416,0.008416
34,899.252,1.45768,0.68626,1.04847,0.11683,0.11897,0.04902,0.01766,2.80075,3.24188,1.94072,0.0083665,0.0083665,0.0083665
35,924.68,1.43607,0.68164,1.042,0.09715,0.11956,0.06716,0.03315,2.62173,3.15151,1.79453,0.008317,0.008317,0.008317
36,950.059,1.4061,0.67436,1.03249,0.08906,0.11585,0.04678,0.01928,2.72154,3.26975,1.91335,0.0082675,0.0082675,0.0082675
37,975.426,1.38875,0.66483,1.02692,0.09863,0.09112,0.0594,0.02562,2.70553,3.37799,1.86892,0.008218,0.008218,0.008218
