epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,229.036,2.01015,2.14329,1.24364,0.35074,0.3881,0.39549,0.16416,2.17269,1.88653,1.33134,0.0033125,0.0033125,0.0033125
2,522.916,1.89534,1.04914,1.25207,0.29112,0.37193,0.35306,0.12872,2.30576,1.74942,1.43754,0.00664543,0.00664543,0.00664543
3,809.505,1.90395,0.99288,1.3131,0.40122,0.16649,0.0803,0.0312,2.39577,5.49089,1.54319,0.00997673,0.00997673,0.00997673
4,1098.36,1.89446,0.94465,1.31853,0.85503,0.12939,0.1409,0.05019,2.39839,2.50789,1.50363,0.0099945,0.0099945,0.0099945
5,1390.17,1.87835,0.90661,1.30633,0.10737,0.26289,0.16656,0.06543,2.45781,2.19469,1.49098,0.00999023,0.00999023,0.00999023
6,1687.78,1.86723,0.88648,1.29312,0.82254,0.16092,0.16594,0.05824,2.56463,1.89103,1.52041,0.00998474,0.00998474,0.00998474
7,1975.5,1.86167,0.86902,1.28644,0.58245,0.23386,0.19533,0.06274,2.52279,1.90397,1.47238,0.00997803,0.00997803,0.00997803
8,2253.6,1.85027,0.86477,1.28151,0.36611,0.34246,0.34337,0.1253,2.41989,1.64738,1.43964,0.00997011,0.00997011,0.00997011
9,2553.53,1.8451,0.86283,1.27795,0.58,0.21878,0.20838,0.07682,2.38037,1.75773,1.41454,0.00996097,0.00996097,0.00996097
10,2849.49,1.84499,0.85407,1.27558,0.67887,0.24049,0.20344,0.07678,2.41513,1.84417,1.41832,0.00995062,0.00995062,0.00995062
11,3141.73,1.83749,0.84369,1.27109,0.69192,0.21214,0.20105,0.0773,2.39452,1.92425,1.4154,0.00993906,0.00993906,0.00993906
12,3423.38,1.83237,0.84742,1.26846,0.32917,0.298,0.25783,0.09505,2.39345,1.68696,1.41381,0.00992629,0.00992629,0.00992629
13,3704.52,1.82993,0.84272,1.26588,0.49765,0.22152,0.25432,0.09114,2.43706,1.75717,1.44697,0.00991232,0.00991232,0.00991232
14,3991.85,1.82883,0.83972,1.26222,0.71902,0.15681,0.1653,0.05758,2.45627,2.02668,1.47173,0.00989715,0.00989715,0.00989715
15,4280.04,1.82361,0.83491,1.26023,0.59078,0.21095,0.2003,0.07539,2.4849,1.90139,1.47358,0.00988079,0.00988079,0.00988079
16,4559.74,1.82106,0.83137,1.26035,0.65246,0.20375,0.21366,0.09058,2.41001,2.03429,1.43394,0.00986323,0.00986323,0.00986323
17,4833.6,1.81678,0.82948,1.25747,0.64033,0.19601,0.22435,0.08294,2.51782,1.83754,1.47814,0.00984449,0.00984449,0.00984449
18,5120.4,1.81288,0.83092,1.25341,0.62731,0.20808,0.19276,0.06724,2.45581,1.84547,1.47213,0.00982456,0.00982456,0.00982456
19,5407.44,1.81266,0.82442,1.25305,0.58366,0.19852,0.18572,0.06982,2.44018,1.86062,1.46877,0.00980345,0.00980345,0.00980345
20,5684.04,1.81048,0.8272,1.25216,0.64785,0.21271,0.24789,0.08686,2.39074,1.73391,1.4238,0.00978118,0.00978118,0.00978118
21,5960.76,1.80515,0.82641,1.25044,0.57576,0.2047,0.18446,0.06891,2.45287,2.0295,1.44714,0.00975773,0.00975773,0.00975773
22,6249.68,1.80569,0.82755,1.24952,0.18356,0.24675,0.21093,0.07555,2.50421,2.12601,1.47813,0.00973312,0.00973312,0.00973312
23,6536.91,1.80414,0.81915,1.247,0.6005,0.18483,0.22043,0.08938,2.49916,1.78813,1.48728,0.00970736,0.00970736,0.00970736
24,6818.87,1.80188,0.82162,1.24522,0.87979,0.16709,0.19733,0.07209,2.34637,1.807,1.41724,0.00968045,0.00968045,0.00968045
25,7092.19,1.79781,0.81913,1.24427,0.49018,0.20656,0.26123,0.09853,2.49339,1.78807,1.46982,0.00965239,0.00965239,0.00965239
26,7381.19,1.79298,0.81437,1.24133,0.62699,0.18033,0.24782,0.10081,2.35614,1.70702,1.42492,0.0096232,0.0096232,0.0096232
27,7671.16,1.79091,0.81687,1.24284,0.59029,0.18442,0.18778,0.07348,2.44987,1.99758,1.47274,0.00959289,0.00959289,0.00959289
28,7952.47,1.7923,0.80665,1.23974,0.63391,0.1842,0.186,0.07256,2.39284,1.816,1.42462,0.00956145,0.00956145,0.00956145
29,8221.81,1.78722,0.80662,1.2381,0.63779,0.19988,0.20647,0.0843,2.47847,1.8597,1.46041,0.00952889,0.00952889,0.00952889
30,8511.16,1.78387,0.80744,1.23848,0.29916,0.24443,0.22521,0.08032,2.50691,1.86628,1.51003,0.00949524,0.00949524,0.00949524
