epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,301.993,2.01015,2.14329,1.24364,0.35074,0.3881,0.39549,0.16416,2.17269,1.88653,1.33134,0.0033125,0.0033125,0.0033125
2,599.854,1.89587,1.04757,1.2546,0.607,0.28303,0.23157,0.0858,2.26046,1.92534,1.387,0.00661294,0.00661294,0.00661294
3,893.365,1.9003,0.98454,1.30775,0.70403,0.16225,0.05521,0.02076,2.27234,5.06368,1.49071,0.00988037,0.00988037,0.00988037
4,1175.47,1.89037,0.93569,1.33899,0.86006,0.1395,0.27549,0.11315,2.363,1.91174,1.47331,0.0098515,0.0098515,0.0098515
5,1461.41,1.87367,0.8945,1.3373,0.49851,0.35082,0.24511,0.09292,2.42402,1.95396,1.48754,0.009802,0.009802,0.009802
6,1756.02,1.8594,0.87971,1.32716,0.81867,0.15777,0.19089,0.06289,2.489,1.84044,1.50695,0.0097525,0.0097525,0.0097525
7,2053.97,1.85356,0.86567,1.32181,0.85559,0.15995,0.21318,0.0724,2.51653,1.84061,1.5172,0.009703,0.009703,0.009703
8,2344.54,1.84276,0.86372,1.31723,0.85419,0.14858,0.23177,0.08598,2.42905,1.7908,1.50446,0.0096535,0.0096535,0.0096535
9,2622.21,1.83908,0.85254,1.3139,0.56205,0.22103,0.20837,0.07712,2.40271,2.05362,1.44655,0.009604,0.009604,0.009604
10,2918.4,1.83613,0.83752,1.31275,0.86605,0.15597,0.15831,0.05259,2.48491,2.22308,1.50517,0.0095545,0.0095545,0.0095545
11,3211.26,1.83246,0.83409,1.30921,0.68868,0.23686,0.22707,0.08897,2.3149,1.98638,1.43059,0.009505,0.009505,0.009505
12,3499.15,1.82534,0.83276,1.30472,0.49375,0.22432,0.25674,0.08635,2.47937,1.84244,1.51727,0.0094555,0.0094555,0.0094555
13,3775.7,1.8223,0.82795,1.30232,0.5516,0.1707,0.17525,0.05959,2.56179,2.18187,1.5479,0.009406,0.009406,0.009406
14,4057.44,1.81831,0.83035,1.30049,0.69578,0.19279,0.23597,0.09081,2.4869,1.8794,1.50332,0.0093565,0.0093565,0.0093565
15,4344.4,1.81506,0.82275,1.29814,0.54101,0.17612,0.15509,0.05503,2.56237,2.42589,1.51696,0.009307,0.009307,0.009307
16,4631.46,1.81462,0.81767,1.29697,0.69022,0.19545,0.20979,0.08077,2.3817,1.90704,1.46416,0.0092575,0.0092575,0.0092575
17,4910.78,1.81011,0.81293,1.29337,0.54499,0.18338,0.18771,0.06664,2.50043,2.22354,1.52004,0.009208,0.009208,0.009208
