epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,170.143,2.02319,2.04729,1.20676,0.67428,0.37686,0.39183,0.16457,2.2059,2.04207,1.32918,0.0033125,0.0033125,0.0033125
2,333.817,1.93185,1.01817,1.20264,0.88773,0.16295,0.23027,0.09226,2.27168,2.60638,1.40987,0.00664421,0.00664421,0.00664421
3,498.961,1.93849,0.96649,1.24117,0.42527,0.14035,0.07023,0.02497,2.36429,inf,1.46421,0.00996942,0.00996942,0.00996942
4,662.755,1.92516,0.91866,1.24689,0.89221,0.18177,0.20123,0.07275,2.27295,1.70279,1.4316,0.00997803,0.00997803,0.00997803
5,827.185,1.90842,0.87759,1.23646,0.85992,0.16346,0.20612,0.0832,2.27561,2.07401,1.40269,0.00996097,0.00996097,0.00996097
6,991.553,1.89093,0.86881,1.22718,0.87443,0.17108,0.23218,0.07672,2.38505,2.02279,1.4125,0.00993906,0.00993906,0.00993906
7,1156.01,1.87979,0.85279,1.22055,0.85252,0.14547,0.15399,0.05221,2.44626,1.97442,1.47172,0.00991232,0.00991232,0.00991232
8,1319.86,1.86468,0.84038,1.21415,0.52004,0.21092,0.25871,0.09848,2.37906,1.84129,1.42266,0.00988079,0.00988079,0.00988079
9,1484.38,1.85168,0.82354,1.2085,0.64221,0.19306,0.24273,0.09411,2.33396,1.7971,1.3974,0.00984449,0.00984449,0.00984449
10,1648.16,1.8372,0.81214,1.2005,0.5584,0.22632,0.21962,0.08172,2.35235,1.82579,1.39091,0.00980345,0.00980345,0.00980345
11,1812.65,1.81594,0.79701,1.19305,0.58661,0.23812,0.21167,0.0825,2.38779,1.86665,1.42373,0.00975773,0.00975773,0.00975773
12,1976.27,1.79201,0.79058,1.18303,0.56163,0.18553,0.15529,0.05826,2.49378,2.11469,1.50617,0.00970736,0.00970736,0.00970736
13,2140.18,1.76257,0.77459,1.17243,0.55222,0.15901,0.14215,0.0459,2.51744,2.02198,1.46946,0.00965239,0.00965239,0.00965239
14,2304.2,1.73014,0.76265,1.16177,0.59116,0.18309,0.15878,0.05219,2.47577,1.93903,1.48059,0.00959289,0.00959289,0.00959289
