epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.0536,2.02319,2.04729,1.20676,0.67428,0.37686,0.39183,0.16457,2.2059,2.04207,1.32918,0.0033125,0.0033125,0.0033125
2,159.089,1.93499,1.01308,1.1934,0.64561,0.25172,0.22828,0.08918,2.26677,2.05986,1.35909,0.00658004,0.00658004,0.00658004
3,236.581,1.94032,0.96965,1.21566,0.83607,0.16757,0.13874,0.04618,2.341,3.99508,1.48827,0.00978158,0.00978158,0.00978158
4,314.234,1.92833,0.9157,1.22373,0.88207,0.17411,0.16578,0.05623,2.29497,2.33529,1.42361,0.009703,0.009703,0.009703
5,391.389,1.91189,0.87522,1.2178,0.86489,0.17094,0.16064,0.05859,2.28355,1.87687,1.40085,0.009604,0.009604,0.009604
6,523.188,1.89425,0.85662,1.20975,0.85755,0.17641,0.21588,0.08067,2.37436,1.79278,1.41642,0.009505,0.009505,0.009505
7,687.022,1.88293,0.84006,1.20227,0.84279,0.14951,0.13223,0.04338,2.38912,2.09168,1.41135,0.009406,0.009406,0.009406
8,817.706,1.86869,0.8328,1.19587,0.88657,0.16963,0.20785,0.07572,2.33928,1.74009,1.41666,0.009307,0.009307,0.009307
9,981.504,1.85163,0.81638,1.18768,0.67861,0.23064,0.25241,0.10421,2.28818,1.71937,1.3902,0.009208,0.009208,0.009208
10,1144.58,1.83539,0.80849,1.18183,0.89305,0.16298,0.22186,0.08891,2.34155,1.89939,1.3993,0.009109,0.009109,0.009109
11,1307.79,1.81513,0.79548,1.17358,0.20723,0.26592,0.19875,0.06876,2.36561,1.73,1.40854,0.00901,0.00901,0.00901
12,1471.72,1.7884,0.7821,1.1629,0.66592,0.22619,0.22419,0.08272,2.37479,1.89716,1.4064,0.008911,0.008911,0.008911
13,1634.99,1.75351,0.76818,1.15238,0.58026,0.21334,0.2165,0.08252,2.41139,1.75857,1.43991,0.008812,0.008812,0.008812
14,1798.38,1.72065,0.75025,1.14019,0.34232,0.24259,0.22667,0.08516,2.49048,1.96824,1.51378,0.008713,0.008713,0.008713
15,1962.13,1.67213,0.73767,1.12527,0.53368,0.16407,0.17622,0.06235,2.42469,1.8452,1.48342,0.008614,0.008614,0.008614
