epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,209.018,2.31182,6.24522,1.55562,0.02272,0.19715,0.0371,0.01053,2.81861,3.65298,2.04414,0.0670899,6.58333e-06,6.58333e-06
2,403.839,2.06515,1.70203,1.38401,0.23854,0.07483,0.0834,0.02784,2.59883,3.32894,1.91968,0.0337632,1.32313e-05,1.32313e-05
3,600.438,2.03199,1.51318,1.37151,0.15928,0.18284,0.08489,0.03107,2.19702,2.70571,1.74031,0.000436527,1.98603e-05,1.98603e-05
4,796.762,1.98047,1.46815,1.33501,0.09163,0.17198,0.06883,0.02419,2.29439,2.90143,1.74615,1.99151e-05,1.99151e-05,1.99151e-05
5,992.536,1.97925,1.36639,1.34122,0.15642,0.20676,0.08395,0.03227,2.01975,2.90239,1.52908,1.98869e-05,1.98869e-05,1.98869e-05
6,1189.09,1.9619,1.34119,1.2919,0.21182,0.23546,0.12865,0.05304,2.12245,2.29806,1.61019,1.98586e-05,1.98586e-05,1.98586e-05
7,1386.12,1.93426,1.30491,1.30834,0.14177,0.19116,0.06661,0.02253,2.33749,3.28038,1.77278,1.98303e-05,1.98303e-05,1.98303e-05
8,1582.08,1.93921,1.25388,1.32235,0.18564,0.18454,0.08099,0.03016,2.05719,3.01635,1.57898,1.9802e-05,1.9802e-05,1.9802e-05
9,1778.12,1.92761,1.27133,1.29192,0.13281,0.19821,0.0777,0.0285,2.18996,2.97877,1.68253,1.97737e-05,1.97737e-05,1.97737e-05
10,1972.97,1.8947,1.17397,1.27554,0.14817,0.22856,0.11024,0.04202,2.21599,2.94339,1.69303,1.97454e-05,1.97454e-05,1.97454e-05
11,2169.04,1.88725,1.18484,1.28663,0.15448,0.2395,0.08931,0.02974,2.27293,2.66433,1.75425,1.97171e-05,1.97171e-05,1.97171e-05
