epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.534,2.49736,6.74744,1.5422,0.01557,0.14765,0.0177,0.00625,3.11331,4.29417,2.15924,0.0670899,6.58333e-06,6.58333e-06
2,281.535,2.27339,2.34311,1.41075,0.29149,0.0388,0.0192,0.00724,2.69593,3.42061,1.88992,0.0337632,1.32313e-05,1.32313e-05
3,410.679,2.16984,2.10178,1.3475,0.3241,0.04626,0.02918,0.01008,2.71625,3.23673,1.8904,0.000436527,1.98603e-05,1.98603e-05
4,539.815,2.16007,2.05805,1.32162,0.05705,0.05566,0.02949,0.00958,2.68101,3.15188,1.87385,1.99151e-05,1.99151e-05,1.99151e-05
5,668.819,2.16827,1.91257,1.31566,0.07002,0.08941,0.03758,0.01279,2.71517,2.96054,1.89015,1.98869e-05,1.98869e-05,1.98869e-05
6,798.158,2.14123,1.8806,1.28831,0.07696,0.10019,0.0427,0.01522,2.61286,2.96387,1.8119,1.98586e-05,1.98586e-05,1.98586e-05
7,927.976,2.12004,1.85247,1.29502,0.10967,0.0923,0.03468,0.01174,2.7106,3.00292,1.86736,1.98303e-05,1.98303e-05,1.98303e-05
8,1057.39,2.11671,1.77821,1.287,0.10866,0.11231,0.04316,0.01594,2.59684,2.85197,1.76727,1.9802e-05,1.9802e-05,1.9802e-05
9,1186.7,2.11219,1.8019,1.27783,0.08322,0.12186,0.03976,0.01383,2.55166,2.88855,1.71916,1.97737e-05,1.97737e-05,1.97737e-05
10,1315.68,2.0679,1.66481,1.24824,0.09143,0.11315,0.04056,0.01404,2.5705,2.91251,1.73308,1.97454e-05,1.97454e-05,1.97454e-05
11,1445.33,2.08546,1.68078,1.26803,0.0976,0.14423,0.05264,0.01834,2.54642,2.74281,1.68136,1.97171e-05,1.97171e-05,1.97171e-05
12,1574.61,2.089,1.68695,1.28035,0.09146,0.15086,0.0465,0.01722,2.56531,2.68994,1.6856,1.96889e-05,1.96889e-05,1.96889e-05
13,1704.12,2.06347,1.63791,1.25515,0.11435,0.10929,0.04847,0.01681,2.59674,2.8729,1.73301,1.96606e-05,1.96606e-05,1.96606e-05
14,1833.87,2.05603,1.62651,1.25521,0.12314,0.13253,0.05947,0.02058,2.5194,2.69828,1.66283,1.96323e-05,1.96323e-05,1.96323e-05
15,1963.05,2.07172,1.6477,1.2733,0.1447,0.12642,0.06322,0.02146,2.51697,2.81467,1.6417,1.9604e-05,1.9604e-05,1.9604e-05
16,2092.65,1.96619,1.56487,1.22312,0.12921,0.12328,0.05859,0.0198,2.50906,2.91673,1.61333,1.95757e-05,1.95757e-05,1.95757e-05
17,2222.69,2.00922,1.54612,1.22989,0.12629,0.1176,0.05647,0.02046,2.49574,2.96566,1.62906,1.95474e-05,1.95474e-05,1.95474e-05
18,2352.04,1.96807,1.5247,1.21287,0.12231,0.12328,0.05277,0.01878,2.46305,2.88713,1.58762,1.95191e-05,1.95191e-05,1.95191e-05
19,2481.48,2.00267,1.54896,1.23128,0.14311,0.16097,0.07963,0.02572,2.54607,2.73955,1.6374,1.94909e-05,1.94909e-05,1.94909e-05
20,2611.01,1.99274,1.50362,1.22521,0.09116,0.14323,0.0641,0.02222,2.49029,2.94993,1.62813,1.94626e-05,1.94626e-05,1.94626e-05
21,2740.93,2.03478,1.53051,1.23535,0.13811,0.16972,0.07665,0.02718,2.46047,2.70636,1.5933,1.94343e-05,1.94343e-05,1.94343e-05
22,2870.09,1.98836,1.45294,1.21762,0.1253,0.14269,0.07131,0.02316,2.4945,2.81078,1.60091,1.9406e-05,1.9406e-05,1.9406e-05
