epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,252.415,2.35378,2.96464,1.5582,0.02319,0.15219,0.02413,0.00903,3.3078,4.14625,2.10537,0.0670899,6.58333e-06,6.58333e-06
2,495.702,2.01429,1.64867,1.33092,0.55481,0.04156,0.02709,0.01011,2.69196,4.11231,1.79791,0.0337632,1.32313e-05,1.32313e-05
3,722.488,1.95254,1.51939,1.28449,0.56422,0.04697,0.02995,0.01289,2.62006,3.36323,1.72073,0.000436527,1.98603e-05,1.98603e-05
4,951.501,1.89841,1.43461,1.24741,0.58517,0.05339,0.04073,0.01662,2.6298,3.22447,1.66674,1.99151e-05,1.99151e-05,1.99151e-05
5,1187.21,1.8762,1.38324,1.23488,0.58299,0.04761,0.03831,0.01371,2.68388,3.2371,1.72303,1.98869e-05,1.98869e-05,1.98869e-05
6,1422.67,1.85479,1.33473,1.22626,0.5847,0.0511,0.04,0.01521,2.62439,3.12819,1.66639,1.98586e-05,1.98586e-05,1.98586e-05
7,1647.89,1.8429,1.31709,1.21947,0.56602,0.05727,0.03759,0.01303,2.67341,3.17826,1.70407,1.98303e-05,1.98303e-05,1.98303e-05
8,1908.2,1.81764,1.28513,1.20395,0.5722,0.05432,0.04088,0.01438,2.68223,3.08244,1.65775,1.9802e-05,1.9802e-05,1.9802e-05
9,2140.69,1.8209,1.28543,1.19674,0.5815,0.05826,0.04334,0.01567,2.62219,3.12419,1.65015,1.97737e-05,1.97737e-05,1.97737e-05
10,2375.89,1.81549,1.27385,1.19644,0.59015,0.05428,0.04862,0.01804,2.56251,3.10413,1.58971,1.97454e-05,1.97454e-05,1.97454e-05
11,2615.64,1.79351,1.25173,1.19104,0.58,0.05616,0.04448,0.01427,2.66441,3.18079,1.63632,1.97171e-05,1.97171e-05,1.97171e-05
12,2873,1.78754,1.2334,1.18637,0.59245,0.05234,0.04165,0.01646,2.46568,3.11258,1.54499,1.96889e-05,1.96889e-05,1.96889e-05
