epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,244.232,2.4004,3.03332,1.58374,0.78283,0.01575,0.04488,0.01706,3.01187,3.77149,1.97466,0.0670899,6.58333e-06,6.58333e-06
2,473.091,2.06035,1.69471,1.36526,0.79033,0.03551,0.02739,0.00768,2.89174,3.25948,1.83882,0.0337632,1.32313e-05,1.32313e-05
3,695.954,1.99125,1.58384,1.31139,0.54199,0.03726,0.02832,0.00931,2.77035,3.42485,1.74007,0.000436527,1.98603e-05,1.98603e-05
4,918.415,1.93638,1.48141,1.27551,0.5589,0.05617,0.03629,0.01208,2.76171,3.22606,1.65835,1.99151e-05,1.99151e-05,1.99151e-05
5,1141.22,1.91935,1.40664,1.2621,0.78872,0.05275,0.0357,0.01221,2.71816,3.24691,1.69998,1.98869e-05,1.98869e-05,1.98869e-05
6,1365.01,1.88983,1.36563,1.24787,0.55658,0.05307,0.03524,0.01261,2.61694,3.17574,1.57429,1.98586e-05,1.98586e-05,1.98586e-05
7,1588.12,1.87676,1.34853,1.23857,0.54647,0.05346,0.03493,0.01146,2.71376,3.26773,1.64197,1.98303e-05,1.98303e-05,1.98303e-05
8,1817.81,1.85037,1.31203,1.22391,0.55772,0.05607,0.04106,0.01369,2.71058,3.12596,1.6251,1.9802e-05,1.9802e-05,1.9802e-05
9,2040.63,1.86191,1.30955,1.22238,0.55908,0.05426,0.04127,0.01438,2.71626,3.05851,1.65285,1.97737e-05,1.97737e-05,1.97737e-05
10,2263.13,1.84615,1.29125,1.21719,0.55884,0.05201,0.03782,0.01213,2.76798,3.14904,1.66538,1.97454e-05,1.97454e-05,1.97454e-05
11,2492.13,1.83645,1.27768,1.21227,0.55547,0.06064,0.03983,0.01357,2.75162,3.00385,1.62547,1.97171e-05,1.97171e-05,1.97171e-05
12,2715.56,1.82028,1.25726,1.20536,0.55209,0.05802,0.03467,0.01247,2.67399,3.05269,1.6038,1.96889e-05,1.96889e-05,1.96889e-05
